task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
1,hu-worker-c40,a8/3d6e99,nf-a83d6e99c2e3a8952ef00f10b1441078,task_split_fasta,-,task_split_fasta (1),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,1621350154,1,1714510707881,1714510719000,1714510720000,12119,916,-,469.1,0.0,1515520,4464640,1515520,4464640,10159855,55384859,1243,568,4096,55386112,4,4,/input/data/work/a8/3d6e99c2e3a8952ef00f10b1441078,true,-,30,12,72,75
2,hu-worker-c23,86/079b38,nf-86079b3891966e856502db03f92ebfe2,task_blastall,-,task_blastall (1),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714510711862,1714510719000,1714510733000,21138,13950,-,601.6,0.0,89976832,1490026496,89976832,1490026496,73267227,312640602,1360,3098,0,312639488,28,456,/input/data/work/86/079b3891966e856502db03f92ebfe2,true,-,6,2,5,47
42,hu-worker-c23,9e/61e352,nf-9e61e352de389f501333056704e9f165,task_blastall,-,task_blastall (41),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714510713399,1714510736000,1714510751000,37601,14433,-,666.6,0.0,89718784,1490006016,89718784,1490006016,73267227,347490399,1360,3438,4194304,347492352,20,230,/input/data/work/9e/61e352de389f501333056704e9f165,true,-,5,0,4,116
151,hu-worker-c23,a8/106793,nf-a810679385625d3af87fe397d716dd97,task_blastall,-,task_blastall (150),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714510717348,1714510754000,1714510767000,49652,12827,-,703.9,0.0,89919488,1490006016,89919488,1490006016,73267224,46677096,1360,500,0,46678016,21,321,/input/data/work/a8/10679385625d3af87fe397d716dd97,true,-,22,1,5,29
3,hu-worker-c40,86/3d52d9,nf-863d52d9e0e7815c3472be29399d23c5,task_blastall,-,task_blastall (2),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714510711801,1714510723000,1714510796000,84199,73045,-,733.6,0.0,89468928,1490030592,89468928,1490030592,104923939,46677123,1368,500,4198400,46678016,40,1667,/input/data/work/86/3d52d9e0e7815c3472be29399d23c5,true,-,10,1,6,39
128,hu-worker-c23,38/db86b2,nf-38db86b2ecd428d4c4bb4fd870a8c51f,task_blastall,-,task_blastall (127),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714510718097,1714510771000,1714510785000,66903,13458,-,716.2,0.0,89698304,1490006016,89698304,1490006016,73267227,228918670,1360,2280,0,228917248,23,254,/input/data/work/38/db86b2ecd428d4c4bb4fd870a8c51f,true,-,6,1,3,21
4,hu-worker-c23,4c/2f8b67,nf-4c2f8b67360296ab1fc3566d4b6c9225,task_blastall,-,task_blastall (3),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714510712092,1714510719000,1714510791000,78908,71974,-,746.2,0.0,90087424,1490026496,90087424,1490026496,128070490,329478166,1373,3262,0,329478144,39,2391,/input/data/work/4c/2f8b67360296ab1fc3566d4b6c9225,true,-,6,0,5,30
13,hu-worker-c43,c6/543a7d,nf-c6543a7d201a0585f85353eb04835d7b,task_blastall,-,task_blastall (12),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714510712132,1714510712000,1714510783000,70868,70160,-,649.5,0.0,89935872,1490157568,89935872,1490157568,120202045,137055634,1372,1383,0,137056256,35,970,/input/data/work/c6/543a7d201a0585f85353eb04835d7b,true,-,6,1,4,29
12,hu-worker-c23,98/25e413,nf-9825e4133d61980e1be4b9d5d464196f,task_blastall,-,task_blastall (11),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714510712210,1714510719000,1714510790000,77790,70881,-,760.1,0.0,89759744,1490026496,89759744,1490026496,128016406,46677105,1373,500,0,46678016,33,1880,/input/data/work/98/25e4133d61980e1be4b9d5d464196f,true,-,6,0,5,27
174,hu-worker-c23,5e/b23a75,nf-5eb23a75c2a63c41c8caf8969450e36c,task_blastall,-,task_blastall (173),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714510718930,1714510787000,1714510797000,78070,9257,-,683.6,0.0,89874432,1490141184,89874432,1490141184,73267225,90825045,1360,931,0,90824704,24,376,/input/data/work/5e/b23a75c2a63c41c8caf8969450e36c,true,-,6,1,4,29
201,hu-worker-c40,d8/f53499,nf-d8f534997e9cd3137644280cd4401673,task_blastall,-,task_blastall (200),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714510720517,1714510799000,1714510816000,95483,16292,-,627.0,0.0,89616384,1490010112,89616384,1490010112,73267148,214593163,1360,2140,4194304,214593536,27,356,/input/data/work/d8/f534997e9cd3137644280cd4401673,true,-,7,0,4,28
221,hu-worker-c43,71/7c416a,nf-717c416aa45506c37bf5e94ea18181e7,task_blastall,-,task_blastall (220),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714510721252,1714510785000,1714510797000,75748,11408,-,655.2,0.0,90206208,1490010112,90206208,1490010112,73266596,46677094,1360,500,4194304,46678016,23,134,/input/data/work/71/7c416aa45506c37bf5e94ea18181e7,true,-,6,1,5,28
246,hu-worker-c23,73/65f8e2,nf-7365f8e27d8ad145a4135fb3c79f0e86,task_blastall,-,task_blastall (245),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714510721494,1714510792000,1714510804000,82506,10752,-,599.7,0.0,89526272,1490006016,89526272,1490006016,73267224,46677096,1360,500,0,46678016,28,456,/input/data/work/73/65f8e27d8ad145a4135fb3c79f0e86,true,-,7,0,5,27
284,hu-worker-c23,cd/740239,nf-cd74023953583b7f86eeee0880990501,task_blastall,-,task_blastall (283),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714510723872,1714510793000,1714510804000,80128,9543,-,671.4,0.0,90034176,1490026496,90034176,1490026496,73267227,391691567,1360,3870,0,391692288,928,363,/input/data/work/cd/74023953583b7f86eeee0880990501,true,-,8,0,4,28
286,hu-worker-c23,ad/83536f,nf-ad83536fb3eba76802f4a6dc1a2941da,task_blastall,-,task_blastall (285),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714510724136,1714510800000,1714510809000,84864,8754,-,686.0,0.0,89968640,1490010112,89968640,1490010112,73267228,236385255,1360,2353,0,236384256,1245,687,/input/data/work/ad/83536fb3eba76802f4a6dc1a2941da,true,-,6,1,2,28
