task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
1,hu-worker-c29,76/235765,nf-7623576519bde4d400357730370fd3d9,task_split_fasta,-,task_split_fasta (1),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,1621350154,1,1714519659462,1714519660000,1714519661000,1538,1084,-,414.7,0.0,69873664,1440370688,69873664,1440370688,10159899,55384859,1243,568,0,55386112,268,6,/input/data/work/76/23576519bde4d400357730370fd3d9,true,-,31,13,41,81
2,hu-worker-c23,15/ba384f,nf-15ba384fef8eacff996ce8b47647d966,task_blastall,-,task_blastall (1),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714519663430,1714519667000,1714519681000,17570,13616,-,532.6,0.0,89657344,1490006016,89657344,1490006016,73267227,312640602,1360,3098,0,312639488,39,350,/input/data/work/15/ba384fef8eacff996ce8b47647d966,true,-,5,1,6,37
42,hu-worker-c23,91/b301b8,nf-91b301b8597e7a54077aacea3b358ade,task_blastall,-,task_blastall (41),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714519665046,1714519685000,1714519700000,34954,14624,-,679.7,0.0,90079232,1490006016,90079232,1490006016,73267227,347490399,1360,3438,0,347492352,20,304,/input/data/work/91/b301b8597e7a54077aacea3b358ade,true,-,5,1,4,25
128,hu-worker-c23,4e/e4bc49,nf-4ee4bc49b08ef26ed10cc6a50a3a03f2,task_blastall,-,task_blastall (127),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714519669039,1714519703000,1714519717000,47961,13711,-,716.2,0.0,89546752,1490006016,89546752,1490006016,73267227,228918670,1360,2280,0,228917248,20,318,/input/data/work/4e/e4bc49b08ef26ed10cc6a50a3a03f2,true,-,7,1,3,30
3,hu-worker-c43,4f/03f365,nf-4f03f365c5f6ed4b7a35514453f5fbaf,task_blastall,-,task_blastall (2),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714519663380,1714519666000,1714519723000,59620,56441,-,651.1,0.0,89841664,1490006016,89841664,1490006016,104923375,46677103,1368,500,0,46678016,39,911,/input/data/work/4f/03f365c5f6ed4b7a35514453f5fbaf,true,-,9,2,5,47
11,hu-worker-c23,c6/6958cd,nf-c66958cdd49d3c64f34b63e7d99149d2,task_blastall,-,task_blastall (10),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714519663622,1714519667000,1714519727000,63378,59207,-,722.3,0.0,89837568,1490010112,89837568,1490010112,116798900,75282685,1371,780,4198400,75284480,48,2290,/input/data/work/c6/6958cdd49d3c64f34b63e7d99149d2,true,-,5,1,4,40
151,hu-worker-c23,11/ca00af,nf-11ca00af6e5c9609c2fcb7a7efa478ec,task_blastall,-,task_blastall (150),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714519670196,1714519720000,1714519730000,59804,10390,-,658.3,0.0,89825280,1490026496,89825280,1490026496,73267225,46677096,1360,500,0,46678016,27,380,/input/data/work/11/ca00af6e5c9609c2fcb7a7efa478ec,true,-,7,1,6,31
174,hu-worker-c23,13/26c813,nf-1326c813ce634c5b86662afc84abf9cb,task_blastall,-,task_blastall (173),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714519671561,1714519730000,1714519738000,66439,7947,-,735.3,0.0,90091520,1490010112,90091520,1490010112,73267225,90825045,1360,931,0,90824704,57,210,/input/data/work/13/26c813ce634c5b86662afc84abf9cb,true,-,8,1,3,29
201,hu-worker-c43,92/53a482,nf-9253a482301768f97fcf9a06ea725f1c,task_blastall,-,task_blastall (200),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714519672189,1714519726000,1714519739000,66811,12405,-,683.5,0.0,89796608,1490030592,89796608,1490030592,73266604,214593160,1360,2140,0,214593536,23,183,/input/data/work/92/53a482301768f97fcf9a06ea725f1c,true,-,8,1,3,27
221,hu-worker-c23,4c/854e62,nf-4c854e62256e7f78acdb59038b3d783a,task_blastall,-,task_blastall (220),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714519673021,1714519734000,1714519743000,69979,8842,-,736.7,0.0,89706496,1490026496,89706496,1490026496,73267225,46677096,1360,500,0,46678016,251,272,/input/data/work/4c/854e62256e7f78acdb59038b3d783a,true,-,6,1,4,22
9,hu-worker-c43,88/c83098,nf-88c83098a82fe52bc3474eabbe55a53f,task_blastall,-,task_blastall (8),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714519663571,1714519666000,1714519747000,83429,80190,-,664.8,0.0,90025984,1490141184,90025984,1490141184,127515496,331264608,1373,3279,0,331264000,34,942,/input/data/work/88/c83098a82fe52bc3474eabbe55a53f,true,-,5,1,6,30
