task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
1,hu-worker-c23,6a/7cb9c1,nf-6a7cb9c1241138b46c7fe049fa61c286,task_fastq_reduce,-,task_fastq_reduce (1),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,1868310774,1,1714418640390,1714418644000,1714418650000,9610,5749,-,159.4,0.0,72077312,1446576128,76083200,1446576128,44852712,449182,1253,32,0,450560,24,49,/input/data/work/6a/7cb9c1241138b46c7fe049fa61c286,true,-,36,14,50,91
2,hu-worker-c43,ff/d58c22,nf-ffd58c22d9909b6cf0351aeea02559bd,task_bwa_index,-,task_bwa_index (1),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,15,-,-,23396834345,1,1714418640441,1714418646000,1714418904000,263559,257338,-,1478.4,0.0,103735296,1533444096,103735296,1533444096,1056348574,832791755,1689,8199,16384,832798720,2276,4912,/input/data/work/ff/d58c22d9909b6cf0351aeea02559bd,true,-,8,2,6,31
9,hu-worker-c43,67/93c79f,nf-6793c79fcd9b93c62c4d76537289f668,task_bwa,-,task_bwa (7),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714418909466,1714418906000,1714418920000,10534,13798,-,350.7,0.0,81895424,1465204736,81895424,1465204736,845439292,80388989,1499,827,0,80392192,26,613,/input/data/work/67/93c79fcd9b93c62c4d76537289f668,true,-,8,1,5,28
15,hu-worker-c43,41/224d5c,nf-41224d5cc4b64fadcbee744f07d41bfd,task_bwa,-,task_bwa (13),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714418909553,1714418906000,1714418921000,11447,14539,-,377.6,0.0,82227200,1465188352,82227200,1465188352,845439292,41744955,1499,449,0,41746432,19,389,/input/data/work/41/224d5cc4b64fadcbee744f07d41bfd,true,-,6,1,5,28
3,hu-worker-c23,73/0af786,nf-730af7867262add0934f89bcc604cd48,task_bwa,-,task_bwa (1),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714418910244,1714418911000,1714418927000,16756,15213,-,357.8,0.0,81805312,1465192448,81805312,1465192448,845439912,78152784,1499,805,4198400,78155776,760,567,/input/data/work/73/0af7867262add0934f89bcc604cd48,true,-,6,1,4,27
16,hu-worker-c23,23/9706f8,nf-239706f858baab1fd2f1bba357cb35e4,task_bwa,-,task_bwa (14),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714418910335,1714418911000,1714418927000,16665,15767,-,342.6,0.0,81924096,1465192448,81924096,1465192448,845439911,76839585,1499,792,0,76840960,987,750,/input/data/work/23/9706f858baab1fd2f1bba357cb35e4,true,-,5,1,5,79
27,hu-worker-c43,a8/335d76,nf-a8335d761e33399c4f18944ea6ea3127,task_bwa,-,task_bwa (25),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714418910402,1714418907000,1714418922000,11598,15437,-,349.6,0.0,81866752,1465188352,81866752,1465188352,845439292,37898460,1499,412,0,37900288,302,401,/input/data/work/a8/335d761e33399c4f18944ea6ea3127,true,-,33,1,6,26
20,hu-worker-c43,26/d89cf8,nf-26d89cf815cd80564eea4610abeb3920,task_bwa,-,task_bwa (18),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714418910524,1714418907000,1714418922000,11476,15241,-,338.3,0.0,82169856,1465188352,82169856,1465188352,845439292,71571230,1499,740,0,71573504,198,362,/input/data/work/26/d89cf815cd80564eea4610abeb3920,true,-,6,1,5,27
8,hu-worker-c40,b3/ee6196,nf-b3ee6196a3d586979df33b21d36f767e,task_bwa,-,task_bwa (6),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714418909512,1714418921000,1714418943000,33488,21652,-,336.8,0.0,81952768,1465204736,81952768,1465204736,845439813,83202764,1499,854,0,83206144,196,2710,/input/data/work/b3/ee6196a3d586979df33b21d36f767e,true,-,11,1,5,28
14,hu-worker-c29,ee/87a210,nf-ee87a210ffbca38b90b9444c64c9db91,task_bwa,-,task_bwa (12),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714418909599,1714418910000,1714418937000,27401,26967,-,355.7,0.0,81973248,1465188352,81973248,1465188352,845439863,93014596,1499,950,4198400,93016064,206,4626,/input/data/work/ee/87a210ffbca38b90b9444c64c9db91,true,-,6,1,4,34
6,hu-worker-c40,8b/d2f3c7,nf-8bd2f3c73b4cf6882def35dbd493ec4c,task_bwa,-,task_bwa (4),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714418909646,1714418921000,1714418942000,32354,21306,-,351.9,0.0,81657856,1465184256,81657856,1465184256,845439813,52366340,1499,553,4194304,52367360,194,1731,/input/data/work/8b/d2f3c73b4cf6882def35dbd493ec4c,true,-,6,1,5,34
12,hu-worker-c40,27/1b8a47,nf-271b8a4799619ae430dd733aec369fde,task_bwa,-,task_bwa (10),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714418909837,1714418921000,1714418945000,35163,23547,-,357.8,0.0,82046976,1465192448,82046976,1465192448,845439813,78659261,1499,810,4194304,78663680,188,5010,/input/data/work/27/1b8a4799619ae430dd733aec369fde,true,-,10,1,6,30
