task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
2,hu-worker-c23,89/d93912,nf-89d93912cb41fd0d909aa5fea398a9a9,task_fastq_reduce,-,task_fastq_reduce (1),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,1868310774,1,1714746633401,1714746639000,1714746645000,11599,5756,-,159.4,0.0,71962624,1446576128,75964416,1446576128,44852872,449185,1253,32,0,450560,19,40,/input/data/work/89/d93912cb41fd0d909aa5fea398a9a9,true,-,7,1,5,37
1,hu-worker-c40,ad/e9c101,nf-ade9c101fd32056250065d6c11daa17a,task_bwa_index,-,task_bwa_index (1),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,15,-,-,23396834345,1,1714746633348,1714746645000,1714746988000,354652,341640,-,1478.0,0.0,103571456,1533440000,103571456,1533440000,1056349341,832791759,1689,8199,0,832798720,1838,18218,/input/data/work/ad/e9c101fd32056250065d6c11daa17a,true,-,30,13,40,86
26,hu-worker-c23,b9/56195b,nf-b956195bc2b97dc04efb0beea857fad9,task_bwa,-,task_bwa (24),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714746982473,1714746988000,1714747003000,20527,15211,-,343.4,0.0,81747968,1465188352,81747968,1465188352,845440071,50060046,1499,530,0,50061312,774,660,/input/data/work/b9/56195bc2b97dc04efb0beea857fad9,true,-,8,1,4,30
8,hu-worker-c29,22/38966e,nf-2238966ef10e8cd193a1adb1c9794eec,task_bwa,-,task_bwa (6),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714746982517,1714746983000,1714747009000,26483,25832,-,359.5,0.0,81567744,1465200640,81567744,1465200640,845440047,83202767,1499,854,0,83206144,244,2753,/input/data/work/22/38966ef10e8cd193a1adb1c9794eec,true,-,9,1,4,28
4,hu-worker-c43,ac/bf2480,nf-acbf24800d1cbb0518a500d5e7e4f053,task_bwa,-,task_bwa (2),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714746982569,1714746980000,1714747010000,27431,30016,-,349.2,0.0,82010112,1465323520,82010112,1465323520,845439450,31516593,1499,349,4202496,31518720,724,805,/input/data/work/ac/bf24800d1cbb0518a500d5e7e4f053,true,-,5,2,4,40
9,hu-worker-c40,21/9e745a,nf-219e745a3e8294babbd90d27a64c30f2,task_bwa,-,task_bwa (7),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714746982612,1714746995000,1714747015000,32388,19673,-,385.9,0.0,81879040,1465204736,81879040,1465204736,845440058,80388993,1499,827,4198400,80392192,27,2948,/input/data/work/21/9e745a3e8294babbd90d27a64c30f2,true,-,6,2,5,29
16,hu-worker-c23,50/58efc0,nf-5058efc0e2ec514daf943e238c5a7229,task_bwa,-,task_bwa (14),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714746982654,1714746988000,1714747004000,21346,15356,-,326.1,0.0,81891328,1465192448,81891328,1465192448,845440071,76839588,1499,792,0,76840960,630,377,/input/data/work/50/58efc0e2ec514daf943e238c5a7229,true,-,5,1,4,31
15,hu-worker-c29,6b/613159,nf-6b613159823d2c1bac4a92bb94739120,task_bwa,-,task_bwa (13),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714746982695,1714746983000,1714747009000,26305,26099,-,367.5,0.0,81907712,1465184256,81907712,1465184256,845440048,41744959,1499,449,0,41746432,204,2088,/input/data/work/6b/613159823d2c1bac4a92bb94739120,true,-,9,1,4,26
14,hu-worker-c43,60/e169c9,nf-60e169c9a85ba1ea31ecc0ebb887aeef,task_bwa,-,task_bwa (12),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714746982733,1714746980000,1714746996000,13267,16283,-,333.2,0.0,82010112,1465323520,82010112,1465323520,845439448,93014597,1499,950,0,93016064,1052,389,/input/data/work/60/e169c9a85ba1ea31ecc0ebb887aeef,true,-,5,1,4,27
12,hu-worker-c40,8d/23f43e,nf-8d23f43ea533cc06314dbd423e821ab6,task_bwa,-,task_bwa (10),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714746982772,1714746995000,1714747018000,35228,23014,-,375.2,0.0,81862656,1465192448,81862656,1465192448,845440059,78659264,1499,810,4194304,78663680,22,4324,/input/data/work/8d/23f43ea533cc06314dbd423e821ab6,true,-,5,1,4,28
13,hu-worker-c23,b4/88c993,nf-b488c993393f031323fd9e6c32fa586d,task_bwa,-,task_bwa (11),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714746982810,1714746988000,1714747014000,31190,25685,-,338.9,0.0,81965056,1465192448,81965056,1465192448,845440071,77784388,1499,801,0,77787136,769,1175,/input/data/work/b4/88c993393f031323fd9e6c32fa586d,true,-,6,2,4,25
3,hu-worker-c23,4b/14d5f2,nf-4b14d5f2f056ee05629d6deb60b3fced,task_bwa,-,task_bwa (1),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714746982977,1714746988000,1714747004000,21023,15179,-,357.3,0.0,81731584,1465184256,81731584,1465184256,845440070,78152787,1499,805,0,78155776,504,527,/input/data/work/4b/14d5f2f056ee05629d6deb60b3fced,true,-,12,1,4,26
6,hu-worker-c29,75/c483fd,nf-75c483fd91bd4c1cbafd5a456bebc76f,task_bwa,-,task_bwa (4),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714746983012,1714746984000,1714747008000,24988,24203,-,369.1,0.0,81793024,1465319424,81793024,1465319424,845440047,52366343,1499,553,0,52367360,147,2684,/input/data/work/75/c483fd91bd4c1cbafd5a456bebc76f,true,-,5,1,5,23
20,hu-worker-c40,4e/6ef189,nf-4e6ef1890a26d55d0dadeb5b9f69155a,task_bwa,-,task_bwa (18),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714746983229,1714746995000,1714747015000,31771,19200,-,375.3,0.0,81973248,1465188352,81973248,1465188352,845440059,71571234,1499,740,0,71573504,15,2729,/input/data/work/4e/6ef1890a26d55d0dadeb5b9f69155a,true,-,5,1,4,20
27,hu-worker-c29,d7/7274ef,nf-d77274ef75f62cfb131c97a99f07f8af,task_bwa,-,task_bwa (25),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714746983297,1714746984000,1714747008000,24703,24432,-,374.1,0.0,81965056,1465196544,81965056,1465196544,845440047,37898464,1499,412,0,37900288,138,1424,/input/data/work/d7/7274ef75f62cfb131c97a99f07f8af,true,-,5,0,5,19
22,hu-worker-c40,71/99d4aa,nf-7199d4aabb7a118524ba02aa5a3af8c0,task_bwa,-,task_bwa (20),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714746982429,1714746994000,1714747034000,51571,39455,-,372.4,0.0,81715200,1465188352,81715200,1465188352,845440061,81740536,1499,840,0,81743872,25,6709,/input/data/work/71/99d4aabb7a118524ba02aa5a3af8c0,true,-,6,2,4,41
5,hu-worker-c23,56/86001c,nf-5686001c27873ff007c02a74152fa749,task_bwa,-,task_bwa (3),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714746983127,1714746988000,1714747026000,42873,37858,-,374.1,0.0,81911808,1465188352,81911808,1465188352,845440073,85572173,1499,877,0,85573632,620,1616,/input/data/work/56/86001c27873ff007c02a74152fa749,true,-,5,1,5,26
7,hu-worker-c43,0a/ecd6aa,nf-0aecd6aaac9b41dac7907c5637fc0f20,task_bwa,-,task_bwa (5),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714746983636,1714747000000,1714747015000,31364,15252,-,330.7,0.0,81981440,1465188352,81981440,1465188352,845439448,88475126,1499,905,0,88477696,16,140,/input/data/work/0a/ecd6aaac9b41dac7907c5637fc0f20,true,-,22,1,5,26
18,hu-worker-c40,d0/1114ff,nf-d01114ffc56bdea2ed12d1130eb613c1,task_bwa,-,task_bwa (16),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714746982933,1714746995000,1714747050000,67067,54312,-,376.1,0.0,81932288,1465192448,81932288,1465192448,845440062,92647381,1499,946,4194304,92651520,18,5341,/input/data/work/d0/1114ffc56bdea2ed12d1130eb613c1,true,-,5,1,4,20
21,hu-worker-c29,f5/403a72,nf-f5403a7213016db558bb12db6d8ce180,task_bwa,-,task_bwa (19),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714746983159,1714746984000,1714747039000,55841,54857,-,381.8,0.0,81956864,1465184256,81956864,1465184256,845440048,21173616,1499,248,0,21176320,143,3324,/input/data/work/f5/403a7213016db558bb12db6d8ce180,true,-,5,1,5,19
36,hu-worker-c23,a5/42d49f,nf-a542d49fcc35deeb0511dc220a25cc03,task_bwa,-,task_bwa (34),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714746983722,1714747007000,1714747033000,49278,25932,-,355.0,0.0,81850368,1465184256,81850368,1465184256,845440071,84387070,1499,866,0,84389888,19,532,/input/data/work/a5/42d49fcc35deeb0511dc220a25cc03,true,-,6,1,4,27
40,hu-worker-c29,f8/f1efc9,nf-f8f1efc9f41cf335c71e3aea2c37bbf0,task_bwa,-,task_bwa (38),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714746984170,1714747013000,1714747037000,52830,23925,-,362.3,0.0,81784832,1465212928,81784832,1465212928,845440045,9379546,1499,133,0,9383936,16,926,/input/data/work/f8/f1efc9f41cf335c71e3aea2c37bbf0,true,-,8,1,6,27
41,hu-worker-c43,70/fb6257,nf-70fb625727d42c5073c7f11efd97273f,task_bwa,-,task_bwa (39),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714746984349,1714747013000,1714747029000,44651,15196,-,376.7,0.0,81444864,1465188352,81444864,1465188352,845439448,83888371,1499,861,0,83890176,15,168,/input/data/work/70/fb625727d42c5073c7f11efd97273f,true,-,9,7,6,61
23,hu-worker-c43,65/1639dc,nf-651639dce185ef17764d85ff7b1ec167,task_bwa,-,task_bwa (21),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714746982375,1714746980000,1714747046000,63625,65673,-,353.1,0.0,81813504,1465204736,81813504,1465204736,845439453,92547591,1499,945,4194304,92549120,714,1218,/input/data/work/65/1639dce185ef17764d85ff7b1ec167,true,-,7,2,6,38
39,hu-worker-c29,64/16f228,nf-6416f22867bc0e0bff55de8f1528a21e,task_bwa,-,task_bwa (37),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,4,-,-,7967164334,1,1714746984209,1714747013000,1714747056000,71791,43056,-,377.4,0.0,81821696,1465184256,81821696,1465184256,845440049,57606974,1499,604,0,57610240,16,1937,/input/data/work/64/16f22867bc0e0bff55de8f1528a21e,true,-,7,1,4,25
