task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
21,hu-worker-c40,cf/049fa9,nf-cf049fa975604562747e5c8d6e646da8,task_baseline_cycles,-,task_baseline_cycles (21),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714546200936,1714546212000,1714546240000,39064,27252,-,678.5,0.0,89763840,1490010112,89763840,1490010112,21065158,192064983,1357,1926,4198400,192065536,55,587,/input/data/work/cf/049fa975604562747e5c8d6e646da8,true,-,7,1,6,45
11,hu-worker-c40,c8/9717c8,nf-c89717c83ba6e8ce20b89e52ea25780f,task_baseline_cycles,-,task_baseline_cycles (11),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714546201256,1714546213000,1714546242000,40744,28145,-,687.1,0.0,89964544,1490010112,89964544,1490010112,21126189,250013126,1357,2492,0,250015744,542,834,/input/data/work/c8/9717c83ba6e8ce20b89e52ea25780f,true,-,5,0,5,21
42,hu-worker-c40,f5/6cc674,nf-f56cc674b550b7ca38ca967a825124bd,task_baseline_cycles,-,task_baseline_cycles (42),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714546203003,1714546243000,1714546265000,61997,21580,-,567.4,0.0,89792512,1490014208,89792512,1490014208,20852542,212991723,1357,2131,0,212992000,35,487,/input/data/work/f5/6cc674b550b7ca38ca967a825124bd,true,-,7,1,4,31
51,hu-worker-c40,2d/3df2ce,nf-2d3df2ce6a1fe44e7a424e450905ddf2,task_baseline_cycles,-,task_baseline_cycles (51),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714546203414,1714546245000,1714546267000,63586,21142,-,691.3,0.0,89772032,1490006016,89772032,1490006016,20852543,229321373,1357,2290,0,229322752,31,351,/input/data/work/2d/3df2ce6a1fe44e7a424e450905ddf2,true,-,7,1,4,32
5,hu-worker-c43,f9/c9ae1e,nf-f9c9ae1ece9a9943c48a9582c59b1e08,task_baseline_cycles,-,task_baseline_cycles (5),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714546201302,1714546207000,1714546254000,52698,46693,-,747.9,0.0,90025984,1490141184,90025984,1490141184,22182355,170241044,1357,1713,0,170242048,30,830,/input/data/work/f9/c9ae1ece9a9943c48a9582c59b1e08,true,-,5,1,4,35
81,hu-worker-c40,00/68cdc0,nf-0068cdc00892b70296bf7ef7c8616fd3,task_baseline_cycles,-,task_baseline_cycles (81),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714546204494,1714546268000,1714546288000,83506,20057,-,625.5,0.0,89980928,1490006016,89980928,1490006016,20852542,90194638,1357,932,0,90193920,43,622,/input/data/work/00/68cdc00892b70296bf7ef7c8616fd3,true,-,8,1,6,30
82,hu-worker-c40,76/35fe97,nf-7635fe976bc7e12d8e81eb28d4e76a5b,task_baseline_cycles,-,task_baseline_cycles (82),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714546204588,1714546270000,1714546290000,85412,19921,-,668.1,0.0,89354240,1490018304,89354240,1490018304,20852542,184485898,1357,1852,8388608,184487936,33,315,/input/data/work/76/35fe976bc7e12d8e81eb28d4e76a5b,true,-,7,1,9,30
111,hu-worker-c43,f9/9a5920,nf-f99a5920f1d66b5ad3d7ee83e06a75d4,task_baseline_cycles,-,task_baseline_cycles (111),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714546205839,1714546257000,1714546276000,70161,17881,-,738.5,0.0,89620480,1490010112,89620480,1490010112,20851950,90195192,1357,932,0,90193920,175,907,/input/data/work/f9/9a5920f1d66b5ad3d7ee83e06a75d4,true,-,7,1,3,29
13,hu-worker-c23,16/af75a1,nf-16af75a118cb18a93beb17c8b4bd021d,task_baseline_cycles,-,task_baseline_cycles (13),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714546201104,1714546210000,1714546291000,89896,81021,-,767.2,0.0,89726976,1490006016,89726976,1490100224,23736325,197782639,1357,1982,0,197783552,28,6995,/input/data/work/16/af75a118cb18a93beb17c8b4bd021d,true,-,5,1,4,29
6,hu-worker-c43,fc/479fe2,nf-fc479fe2d5fa289b401f9cf4ff6c63f9,task_baseline_cycles,-,task_baseline_cycles (6),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714546201185,1714546207000,1714546288000,86815,80312,-,729.8,0.0,89894912,1490010112,89894912,1490010112,23991124,90186732,1357,932,0,90185728,37,3072,/input/data/work/fc/479fe2d5fa289b401f9cf4ff6c63f9,true,-,5,0,4,30
