task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
7,hu-worker-c23,ac/cb780f,nf-accb780fe11e78992ed645f96877d349,task_baseline_cycles,-,task_baseline_cycles (7),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557699109,1714557708000,1714557725000,25891,17135,-,680.9,0.0,89755648,1490010112,89755648,1490010112,20852588,90193036,1357,932,0,90193920,37,551,/input/data/work/ac/cb780fe11e78992ed645f96877d349,true,-,5,1,4,30
170,hu-worker-c43,5b/f068d7,nf-5bf068d73eac9b2a8273aade88710b21,task_cycles,-,task_cycles (1),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,7,-,-,21077552005,1,1714557730112,1714557726000,1714557749000,18888,21997,-,651.7,0.0,87715840,1483829248,87715840,1483829248,117337007,90265144,1374,933,4194304,90267648,52,1545,/input/data/work/5b/f068d73eac9b2a8273aade88710b21,true,-,7,1,4,38
42,hu-worker-c23,43/f2aa26,nf-43f2aa261835296c90eaa7c1a15a05b6,task_baseline_cycles,-,task_baseline_cycles (42),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557700925,1714557728000,1714557747000,46075,18287,-,730.5,0.0,86532096,1490018304,89993216,1490018304,20852588,212991723,1357,2131,0,212992000,29,612,/input/data/work/43/f2aa261835296c90eaa7c1a15a05b6,true,-,7,2,4,32
171,hu-worker-c29,47/947517,nf-47947517860e37e222b3f00f725c1d26,task_fertilizer_increase_cycles,-,task_fertilizer_increase_cycles (1),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,7,-,-,21184926188,1,1714557730165,1714557731000,1714557766000,35835,34691,-,661.5,0.0,87752704,1483804672,87752704,1483804672,116022805,90307934,1374,934,0,90308608,31,6824,/input/data/work/47/947517860e37e222b3f00f725c1d26,true,-,7,1,3,41
51,hu-worker-c23,40/e4f581,nf-40e4f581b634e51f18f479bcbf6e418c,task_baseline_cycles,-,task_baseline_cycles (51),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557701376,1714557750000,1714557769000,67624,18368,-,726.2,0.0,86511616,1490014208,90013696,1490014208,20852589,229321373,1357,2290,0,229322752,38,925,/input/data/work/40/e4f581b634e51f18f479bcbf6e418c,true,-,7,1,4,38
30,hu-worker-c40,fd/367608,nf-fd3676083327ee553fe356e269ebc86f,task_baseline_cycles,-,task_baseline_cycles (30),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557699395,1714557711000,1714557796000,96605,84325,-,683.5,0.0,90079232,1490006016,90079232,1490006016,23273479,90187745,1357,932,12582912,90189824,364,3181,/input/data/work/fd/3676083327ee553fe356e269ebc86f,true,-,8,1,4,29
6,hu-worker-c43,0e/12de82,nf-0e12de823d0c86adb875e8f3ecdc5bff,task_baseline_cycles,-,task_baseline_cycles (6),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557699308,1714557696000,1714557782000,82692,85902,-,712.1,0.0,89939968,1490006016,89939968,1490006016,23991134,90186732,1357,932,0,90185728,41,3246,/input/data/work/0e/12de823d0c86adb875e8f3ecdc5bff,true,-,5,1,4,21
81,hu-worker-c23,b3/5c1ce4,nf-b35c1ce477a0fceb08667052950d7d2b,task_baseline_cycles,-,task_baseline_cycles (81),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557702773,1714557772000,1714557790000,87227,17891,-,732.9,0.0,86507520,1490010112,89944064,1490010112,20852586,90194638,1357,932,0,90193920,32,4179,/input/data/work/b3/5c1ce477a0fceb08667052950d7d2b,true,-,7,1,4,29
2,hu-worker-c43,ac/d7513f,nf-acd7513f95d32cd501d3341e09b28b4b,task_baseline_cycles,-,task_baseline_cycles (2),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557698965,1714557696000,1714557792000,93035,95463,-,700.7,0.0,89747456,1490006016,89747456,1490006016,24509406,96306723,1358,991,0,96309248,44,3055,/input/data/work/ac/d7513f95d32cd501d3341e09b28b4b,true,-,7,1,5,37
15,hu-worker-c40,9c/3d34aa,nf-9c3d34aac14d4110a36071c2fb01c23d,task_baseline_cycles,-,task_baseline_cycles (15),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557699232,1714557711000,1714557812000,112768,100556,-,734.0,0.0,89956352,1490010112,89956352,1490010112,24163353,187325886,1357,1880,8392704,187326464,360,2942,/input/data/work/9c/3d34aac14d4110a36071c2fb01c23d,true,-,6,0,5,29
16,hu-worker-c29,d9/3353aa,nf-d93353aa44a6c4cda08010e7a40f1de9,task_baseline_cycles,-,task_baseline_cycles (16),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557699352,1714557700000,1714557809000,109648,109150,-,710.4,0.0,89612288,1490014208,89612288,1490014208,22978231,127835569,1357,1299,0,127836160,24,11717,/input/data/work/d9/3353aa44a6c4cda08010e7a40f1de9,true,-,7,0,5,31
82,hu-worker-c40,57/89bc3f,nf-5789bc3f5a515c3d75eb30b1d09e0443,task_baseline_cycles,-,task_baseline_cycles (82),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557702838,1714557799000,1714557817000,114162,17550,-,697.1,0.0,89944064,1490018304,89944064,1490018304,20852558,184485898,1357,1852,8388608,184487936,223,387,/input/data/work/57/89bc3f5a515c3d75eb30b1d09e0443,true,-,7,1,5,51
111,hu-worker-c43,58/70397e,nf-5870397e0af1c5d69344b565b2de07af,task_baseline_cycles,-,task_baseline_cycles (111),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557703892,1714557785000,1714557803000,99108,17414,-,691.9,0.0,89665536,1490006016,89665536,1490006016,20851961,90195192,1357,932,0,90193920,39,411,/input/data/work/58/70397e0af1c5d69344b565b2de07af,true,-,8,1,3,32
166,hu-worker-c23,45/4c29c5,nf-454c29c5a04888e2c65bf6bad3224bc7,task_baseline_cycles,-,task_baseline_cycles (166),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557706309,1714557793000,1714557811000,104691,17466,-,746.8,0.0,86450176,1490010112,89890816,1490010112,20852586,112316272,1357,1148,4194304,112320512,31,2964,/input/data/work/45/4c29c5a04888e2c65bf6bad3224bc7,true,-,6,1,4,27
12,hu-worker-c40,b4/57fe85,nf-b457fe85881bdda4ee4c83a7acb08803,task_baseline_cycles,-,task_baseline_cycles (12),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557699068,1714557711000,1714557829000,129932,118603,-,725.4,0.0,89726976,1490006016,89726976,1490006016,25311689,90190265,1358,932,4194304,90189824,45,3467,/input/data/work/b4/57fe85881bdda4ee4c83a7acb08803,true,-,6,1,5,32
36,hu-worker-c23,b4/13ffb4,nf-b413ffb4b0b3c1480431337a21cf563b,task_baseline_cycles,-,task_baseline_cycles (36),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557699276,1714557708000,1714557817000,117724,108464,-,744.1,0.0,89952256,1490145280,89952256,1490145280,26085995,90194430,1358,932,0,90193920,36,9064,/input/data/work/b4/13ffb4b0b3c1480431337a21cf563b,true,-,7,1,5,30
128,hu-worker-c40,94/fc5ab5,nf-94fc5ab56f1b81e0c506f2f67ef00014,task_baseline_cycles,-,task_baseline_cycles (128),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557704826,1714557815000,1714557835000,130174,19909,-,716.3,0.0,89870336,1490010112,89870336,1490010112,21076163,156605180,1357,1580,0,156610560,39,1015,/input/data/work/94/fc5ab56f1b81e0c506f2f67ef00014,true,-,6,1,3,30
21,hu-worker-c43,59/f438a1,nf-59f438a1bc171fd2b5c1744d7c31d1eb,task_baseline_cycles,-,task_baseline_cycles (21),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557700486,1714557795000,1714557819000,118514,22975,-,704.2,0.0,90140672,1490010112,90140672,1490010112,21064579,192064982,1357,1926,0,192065536,135,1117,/input/data/work/59/f438a1bc171fd2b5c1744d7c31d1eb,true,-,5,0,4,110
129,hu-worker-c40,ec/de7506,nf-ecde7506cd669047f82cc342f00583cc,task_baseline_cycles,-,task_baseline_cycles (129),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557704941,1714557820000,1714557841000,136059,20837,-,700.1,0.0,89653248,1490010112,89653248,1490010112,21104408,183590860,1357,1844,8388608,183595008,28,543,/input/data/work/ec/de7506cd669047f82cc342f00583cc,true,-,7,0,4,24
11,hu-worker-c43,ee/6b68ef,nf-ee6b68efda00d054543dd9a3c17f5b29,task_baseline_cycles,-,task_baseline_cycles (11),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557699671,1714557806000,1714557832000,132329,24626,-,673.0,0.0,89849856,1490018304,89849856,1490018304,21125609,250013125,1357,2492,0,250015744,37,1224,/input/data/work/ee/6b68efda00d054543dd9a3c17f5b29,true,-,5,1,4,28
18,hu-worker-c23,b6/b804b3,nf-b6b804b3fbffbb0721df3f978abc0c11,task_baseline_cycles,-,task_baseline_cycles (18),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557698913,1714557708000,1714557846000,147087,137221,-,755.1,0.0,89812992,1490006016,89812992,1490006016,27200000,134556962,1358,1365,0,134561792,36,10458,/input/data/work/b6/b804b3fbffbb0721df3f978abc0c11,true,-,38,14,43,93
13,hu-worker-c29,41/6e5267,nf-416e5267b7d8276d7ee040b0b58c7a79,task_baseline_cycles,-,task_baseline_cycles (13),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557699192,1714557700000,1714557836000,136808,136243,-,729.7,0.0,89886720,1490006016,89886720,1490006016,23736315,197782639,1357,1982,4194304,197783552,28,13871,/input/data/work/41/6e5267b7d8276d7ee040b0b58c7a79,true,-,6,1,5,26
40,hu-worker-c23,a8/cc0a38,nf-a8cc0a3860efc69dbf9fcd3f51e6d9f2,task_baseline_cycles,-,task_baseline_cycles (40),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557700833,1714557814000,1714557841000,140167,26677,-,717.6,0.0,89919488,1490145280,89919488,1490145280,21276252,210671781,1357,2108,0,210673664,30,2498,/input/data/work/a8/cc0a3860efc69dbf9fcd3f51e6d9f2,true,-,5,1,4,29
65,hu-worker-c23,3a/cfcfd5,nf-3acfcfd5f0db12a64336a29ffd37a1ce,task_baseline_cycles,-,task_baseline_cycles (65),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557701888,1714557819000,1714557847000,145112,27017,-,733.1,0.0,90116096,1490010112,90116096,1490010112,21390629,176447941,1357,1774,4194304,176447488,31,3116,/input/data/work/3a/cfcfd5f0db12a64336a29ffd37a1ce,true,-,4,1,4,25
31,hu-worker-c43,87/b0c950,nf-87b0c9507e8445ea6ed3e31412e6a8ae,task_baseline_cycles,-,task_baseline_cycles (31),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557699152,1714557696000,1714557847000,147848,150637,-,720.6,0.0,89890816,1490018304,89890816,1490018304,27506359,213338665,1358,2134,8392704,213340160,42,5114,/input/data/work/87/b0c9507e8445ea6ed3e31412e6a8ae,true,-,6,1,5,30
9,hu-worker-c43,6e/9145e9,nf-6e9145e9027371ecc38b50be7def2fb3,task_baseline_cycles,-,task_baseline_cycles (9),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557700229,1714557822000,1714557849000,148771,27110,-,657.2,0.0,89522176,1490006016,89522176,1490006016,21429415,179919669,1357,1808,0,179924992,748,804,/input/data/work/6e/9145e9027371ecc38b50be7def2fb3,true,-,5,1,5,42
46,hu-worker-c29,97/defe5b,nf-97defe5bca79642c56957e70ace28648,task_baseline_cycles,-,task_baseline_cycles (46),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557701017,1714557812000,1714557855000,153983,41402,-,665.0,0.0,89681920,1490010112,89681920,1490010112,21127216,226953947,1357,2267,0,226955264,170,4851,/input/data/work/97/defe5bca79642c56957e70ace28648,true,-,7,1,5,31
123,hu-worker-c40,8f/a2eb54,nf-8fa2eb5406e91d19b93a9c3e541137db,task_baseline_cycles,-,task_baseline_cycles (123),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557704653,1714557837000,1714557872000,167347,34494,-,735.6,0.0,90099712,1490010112,90099712,1490010112,21517949,90184794,1357,932,8388608,90185728,31,1435,/input/data/work/8f/a2eb5406e91d19b93a9c3e541137db,true,-,7,2,8,28
91,hu-worker-c40,c6/a96506,nf-c6a96506a8e125c6e2bf7ed5a60251eb,task_baseline_cycles,-,task_baseline_cycles (91),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557703156,1714557838000,1714557875000,171844,36615,-,711.3,0.0,89886720,1490010112,89886720,1490010112,21592796,180109136,1357,1810,4194304,180109312,27,906,/input/data/work/c6/a96506a8e125c6e2bf7ed5a60251eb,true,-,7,1,4,29
100,hu-worker-c40,44/adc78a,nf-44adc78a9da911e59a4c57594b6a2a03,task_baseline_cycles,-,task_baseline_cycles (100),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557703544,1714557844000,1714557881000,177456,36191,-,702.4,0.0,89559040,1490010112,89559040,1490010112,21622077,142736548,1357,1445,8388608,142737408,25,1008,/input/data/work/44/adc78a9da911e59a4c57594b6a2a03,true,-,7,1,3,28
122,hu-worker-c43,7f/05feb8,nf-7f05feb897a079f15d4ac9e55f954da8,task_baseline_cycles,-,task_baseline_cycles (122),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714557704428,1714557834000,1714557864000,159572,28926,-,654.1,0.0,90009600,1490010112,90009600,1490010112,21629173,90184199,1357,932,0,90185728,35,769,/input/data/work/7f/05feb897a079f15d4ac9e55f954da8,true,-,7,1,3,29
172,hu-worker-c43,bd/2cd5d9,nf-bd2cd5d93cac77055d1b698ca81f05be,task_cycles,-,task_cycles (2),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,7,-,-,21077552005,1,1714557758560,1714557755000,1714557864000,105440,108862,-,608.8,0.0,87654400,1483821056,87654400,1483821056,239085104,152745973,1403,1544,8388608,152748032,70,3992,/input/data/work/bd/2cd5d93cac77055d1b698ca81f05be,true,-,8,0,8,117
