task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
44,hu-worker-c40,31/cd5900,nf-31cd5900b8e1eddbe53d0a02f0a72cd7,task_sifting,-,task_sifting (11),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714566389875,1714566401000,1714566415000,25125,11871,-,120.2,0.0,72003584,1442328576,75984896,1446526976,30402260,340258815,1246,3349,4198400,340258816,433,438,/input/data/work/31/cd5900b8e1eddbe53d0a02f0a72cd7,true,-,8,1,5,47
49,hu-worker-c40,c0/c8b918,nf-c0c8b9180dbe5d81e04b25d4295cb387,task_sifting,-,task_sifting (16),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714566390405,1714566402000,1714566415000,24595,10649,-,119.0,0.0,71925760,1442344960,75972608,1446543360,20263060,845059570,1244,8279,0,845062144,1134,1759,/input/data/work/c0/c8b9180dbe5d81e04b25d4295cb387,true,-,5,1,9,28
17,hu-worker-c29,76/e2f8e1,nf-76e2f8e1654be338c48b7b185dd507ef,task_sifting,-,task_sifting (3),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714566390662,1714566391000,1714566407000,16338,14863,-,109.1,0.0,72110080,1442332672,76103680,1446531072,28270716,340258815,1246,3349,0,340258816,34,707,/input/data/work/76/e2f8e1654be338c48b7b185dd507ef,true,-,7,1,4,29
43,hu-worker-c29,16/80d84b,nf-1680d84b79fc641fa76b9af807803834,task_sifting,-,task_sifting (10),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714566391629,1714566393000,1714566407000,15371,13654,-,95.9,0.0,71778304,1442344960,75821056,1446543360,26089187,340258814,1245,3349,0,340258816,357,490,/input/data/work/16/80d84b79fc641fa76b9af807803834,true,-,6,1,5,28
38,hu-worker-c43,61/2dde70,nf-612dde70a0644b02808c2cb69a0cda5d,task_sifting,-,task_sifting (5),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714566391700,1714566388000,1714566399000,7300,10114,-,102.4,0.0,71802880,1442324480,75788288,1446522880,31866508,340258814,1247,3349,0,340258816,920,125,/input/data/work/61/2dde70a0644b02808c2cb69a0cda5d,true,-,7,1,6,56
39,hu-worker-c43,f5/982885,nf-f598288551148b5c68d273609f53c757,task_sifting,-,task_sifting (6),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714566393064,1714566389000,1714566397000,3936,6915,-,107.4,0.0,72105984,1442332672,76103680,1446531072,23525306,340258813,1245,3349,0,340258816,796,57,/input/data/work/f5/98288551148b5c68d273609f53c757,true,-,6,1,5,110
41,hu-worker-c23,7f/9ecbd6,nf-7f9ecbd6acec210aa6cc339701c45be1,task_sifting,-,task_sifting (8),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714566390362,1714566398000,1714566412000,21638,12465,-,101.8,0.0,71835648,1442328576,75816960,1446526976,36551788,340258815,1248,3349,0,340258816,565,360,/input/data/work/7f/9ecbd6acec210aa6cc339701c45be1,true,-,5,1,4,27
48,hu-worker-c29,c3/3bcefd,nf-c33bcefd2fd4e4fffc581c3f59a9d4de,task_sifting,-,task_sifting (15),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714566390740,1714566391000,1714566410000,19260,18210,-,103.6,0.0,71974912,1442328576,75956224,1446526976,32744918,340258815,1247,3349,0,340258816,1017,899,/input/data/work/c3/3bcefd2fd4e4fffc581c3f59a9d4de,true,-,5,1,4,27
10,hu-worker-c29,6c/e3a166,nf-6ce3a16633eb8a20fc68aea38b033706,task_sifting,-,task_sifting (2),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714566391124,1714566392000,1714566414000,22876,21029,-,100.5,0.0,71831552,1442344960,75874304,1446543360,33541853,570903087,1247,5602,0,570904576,863,869,/input/data/work/6c/e3a16633eb8a20fc68aea38b033706,true,-,8,1,4,56
46,hu-worker-c23,40/fabc6b,nf-40fabc6b765339a6fc51471c663ea7e4,task_sifting,-,task_sifting (13),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714566391549,1714566398000,1714566412000,20451,12864,-,104.6,0.0,72056832,1442344960,76103680,1446543360,37978664,340258815,1248,3349,0,340258816,566,351,/input/data/work/40/fabc6b765339a6fc51471c663ea7e4,true,-,7,1,5,32
47,hu-worker-c29,87/c432ba,nf-87c432bacbe6c1dc4e9994bb82f22eeb,task_sifting,-,task_sifting (14),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714566390285,1714566391000,1714566431000,40715,31235,-,103.0,0.0,71856128,1442344960,75902976,1446543360,16774974,3122808399,1243,30523,0,3122810880,7183,3234,/input/data/work/87/c432bacbe6c1dc4e9994bb82f22eeb,true,-,7,1,5,38
45,hu-worker-c23,78/f36fbc,nf-78f36fbc73e87147e82243d10e539253,task_sifting,-,task_sifting (12),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714566390578,1714566398000,1714566420000,29422,14976,-,100.2,0.0,71983104,1442344960,76025856,1446543360,16391318,2205749280,1243,21567,0,2205749248,3309,951,/input/data/work/78/f36fbc73e87147e82243d10e539253,true,-,5,1,5,33
42,hu-worker-c40,b7/5f22a8,nf-b75f22a8605743bece523caa4733241a,task_sifting,-,task_sifting (9),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714566391054,1714566403000,1714566431000,39946,23887,-,98.9,0.0,71774208,1442344960,75821056,1446543360,32313926,1953068885,1247,19099,0,1953071104,5768,1375,/input/data/work/b7/5f22a8605743bece523caa4733241a,true,-,7,1,6,23
2,hu-worker-c29,e2/a92805,nf-e2a92805cc4d8780f32c746243f571ad,task_sifting,-,task_sifting (1),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714566391168,1714566392000,1714566429000,37832,31829,-,95.8,0.0,72073216,1442344960,76115968,1446543360,26748044,2346407646,1245,22941,0,2346409984,8167,2449,/input/data/work/e2/a92805cc4d8780f32c746243f571ad,true,-,8,1,4,29
37,hu-worker-c23,72/dcf968,nf-72dcf968f528a04d77af70adfdd7f970,task_sifting,-,task_sifting (4),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714566392178,1714566397000,1714566420000,27822,17163,-,103.8,0.0,71942144,1442332672,75935744,1446531072,29322107,1700146325,1246,16629,0,1700147200,5942,685,/input/data/work/72/dcf968f528a04d77af70adfdd7f970,true,-,52,2,8,120
40,hu-worker-c23,19/71209d,nf-1971209ddc66cc7fc354bbfb3b8d5b96,task_sifting,-,task_sifting (7),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714566392937,1714566397000,1714566420000,27063,17534,-,105.4,0.0,71802880,1442344960,75845632,1446543360,37445725,1373066243,1248,13435,0,1373069312,5356,511,/input/data/work/19/71209ddc66cc7fc354bbfb3b8d5b96,true,-,72,1,95,222
9,hu-worker-c43,27/74becc,nf-2774beccfce6c799e6ed8a17aa179295,task_individuals,-,task_individuals (8),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,18951543194,1,1714566389930,1714566388000,1714566437000,47070,49112,-,664.7,0.0,85860352,1490141184,89833472,1490141184,31360488,23243262,1348,268,0,23244800,33,839,/input/data/work/27/74beccfce6c799e6ed8a17aa179295,true,-,6,1,5,42
28,hu-worker-c43,07/1683f3,nf-071683f36589462d2e6899f70a9d202a,task_individuals,-,task_individuals (25),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,18951543194,1,1714566390061,1714566388000,1714566455000,64939,67264,-,734.3,0.0,85594112,1490014208,89563136,1490014208,42079084,30862422,1350,343,0,30863360,26,1460,/input/data/work/07/1683f36589462d2e6899f70a9d202a,true,-,6,1,5,30
34,hu-worker-c23,3c/be2441,nf-3cbe24418ee8707e97312e7fef625861,task_individuals,-,task_individuals (31),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,18951543194,1,1714566390323,1714566398000,1714566458000,67677,59834,-,691.6,0.0,89948160,1490014208,89948160,1490014208,36190266,4691429,1349,87,0,4689920,32,7574,/input/data/work/3c/be24418ee8707e97312e7fef625861,true,-,4,1,4,28
13,hu-worker-c43,7e/616c60,nf-7e616c60ebc629a49eb7e6112b1c34b0,task_individuals,-,task_individuals (11),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,18951543194,1,1714566389809,1714566388000,1714566460000,70191,72282,-,684.2,0.0,85946368,1490014208,89919488,1490014208,46817452,31998199,1351,354,0,31997952,29,1374,/input/data/work/7e/616c60ebc629a49eb7e6112b1c34b0,true,-,35,12,44,94
30,hu-worker-c23,43/3a6ad1,nf-433a6ad18359b629c6e048e5a883263b,task_individuals,-,task_individuals (27),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,18951543194,1,1714566390148,1714566398000,1714566479000,88852,80886,-,722.1,0.0,85475328,1490145280,89444352,1490145280,49769278,32207489,1352,356,0,32206848,28,6933,/input/data/work/43/3a6ad18359b629c6e048e5a883263b,true,-,7,1,5,30
1,hu-worker-c23,63/0d0024,nf-630d00241a3b7e586040471ab3da2714,task_individuals,-,task_individuals (1),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,18951543194,1,1714566390191,1714566398000,1714566487000,96809,88706,-,720.3,0.0,89763840,1490014208,89763840,1490014208,51464355,15199719,1352,190,0,15200256,30,5279,/input/data/work/63/0d00241a3b7e586040471ab3da2714,true,-,8,1,6,27
23,hu-worker-c29,fe/7df861,nf-fe7df8614c6c57aa2135b1d302b67ed1,task_individuals,-,task_individuals (20),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,18951543194,1,1714566390233,1714566391000,1714566479000,88767,88724,-,714.2,0.0,85495808,1490014208,89473024,1490014208,31946241,4691429,1348,87,0,4689920,22,12618,/input/data/work/fe/7df8614c6c57aa2135b1d302b67ed1,true,-,5,1,4,31
7,hu-worker-c40,37/d573c4,nf-37d573c4b214b815be8c4d85e8b5f7d5,task_individuals,-,task_individuals (6),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,18951543194,1,1714566390018,1714566401000,1714566504000,113982,102771,-,746.6,0.0,89800704,1490014208,89800704,1490014208,47631304,4691429,1351,87,4194304,4689920,35,6663,/input/data/work/37/d573c4b214b815be8c4d85e8b5f7d5,true,-,6,1,5,31
11,hu-worker-c40,78/3d02b7,nf-783d02b76d2a177fe4fa1dadc769ac03,task_individuals,-,task_individuals (9),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,18951543194,1,1714566390443,1714566402000,1714566502000,111557,100302,-,717.8,0.0,89989120,1490014208,89989120,1490014208,45091218,10804654,1351,147,4194304,10805248,51,5084,/input/data/work/78/3d02b76d2a177fe4fa1dadc769ac03,true,-,4,1,5,27
24,hu-worker-c40,e9/54858c,nf-e954858c935c942d810bdd6e1c201448,task_individuals,-,task_individuals (21),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,18951543194,1,1714566390486,1714566402000,1714566521000,130514,118658,-,701.3,0.0,86003712,1490014208,89976832,1490014208,51756855,36713874,1352,400,0,36712448,34,6713,/input/data/work/e9/54858c935c942d810bdd6e1c201448,true,-,6,1,6,28
155,hu-worker-c43,65/f9e699,nf-65f9e699fa5bd893c405e608e0121c7b,task_individuals,-,task_individuals (139),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,18951543194,1,1714566401865,1714566440000,1714566523000,121135,83465,-,656.2,0.0,85647360,1490014208,89624576,1490014208,51846886,42098414,1352,453,0,42098688,34,858,/input/data/work/65/f9e699fa5bd893c405e608e0121c7b,true,-,10,1,12,30
227,hu-worker-c23,ff/b273c4,nf-ffb273c4f37c6fc193e82dc58816eca2,task_individuals,-,task_individuals (211),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,18951543194,1,1714566409551,1714566460000,1714566536000,126449,75589,-,733.1,0.0,85569536,1490014208,89546752,1490014208,51754141,29534675,1352,330,0,29536256,30,1351,/input/data/work/ff/b273c4f37c6fc193e82dc58816eca2,true,-,7,1,3,28
16,hu-worker-c29,2f/38edd6,nf-2f38edd6bd0dc63fc347fd3a125673d3,task_individuals,-,task_individuals (14),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,18951543194,1,1714566389974,1714566390000,1714566537000,147026,146025,-,731.8,0.0,85725184,1490014208,89698304,1490014208,51132279,36908473,1352,402,0,36909056,39,13636,/input/data/work/2f/38edd6bd0dc63fc347fd3a125673d3,true,-,5,1,4,33
