task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
39,hu-worker-c23,8c/591aa3,nf-8c591aa34515045308df3cb70e17cb94,task_sifting,-,task_sifting (6),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714575208129,1714575210000,1714575217000,8871,6587,-,101.2,0.0,71884800,1442344960,75923456,1446543360,23525927,340258814,1245,3349,0,340258816,646,217,/input/data/work/8c/591aa34515045308df3cb70e17cb94,true,-,34,12,40,99
44,hu-worker-c40,35/665316,nf-356653169d1a094094a13e3ccd700488,task_sifting,-,task_sifting (11),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714575208434,1714575220000,1714575233000,24566,12403,-,117.6,0.0,71950336,1442332672,75939840,1446531072,30402265,340258815,1246,3349,4198400,340258816,156,865,/input/data/work/35/6653169d1a094094a13e3ccd700488,true,-,5,1,5,30
43,hu-worker-c29,36/13be3f,nf-3613be3f411820c389abccbe384c283e,task_sifting,-,task_sifting (10),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714575209186,1714575210000,1714575223000,13814,12823,-,108.4,0.0,72015872,1442344960,76054528,1446543360,26089190,340258815,1245,3349,0,340258816,225,324,/input/data/work/36/13be3f411820c389abccbe384c283e,true,-,5,1,5,29
49,hu-worker-c43,1e/2ec65a,nf-1e2ec65a24ecacaeb8a92874de6f94e5,task_sifting,-,task_sifting (16),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714575209312,1714575211000,1714575220000,10688,7357,-,108.5,0.0,71950336,1442324480,75927552,1446522880,20262477,845059568,1244,8279,4194304,845062144,1566,302,/input/data/work/1e/2ec65a24ecacaeb8a92874de6f94e5,true,-,8,2,33,81
48,hu-worker-c40,51/3cca7a,nf-513cca7ab44e82afacaf4e8b68630d89,task_sifting,-,task_sifting (15),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714575209469,1714575221000,1714575235000,25531,13515,-,99.3,0.0,71827456,1442324480,75808768,1446522880,32744958,340258835,1247,3349,0,340258816,214,438,/input/data/work/51/3cca7ab44e82afacaf4e8b68630d89,true,-,5,1,4,28
18,hu-worker-c23,b6/4cac30,nf-b64cac30d91909778b59dbee12fe2d38,task_sifting,-,task_sifting (3),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714575210434,1714575211000,1714575221000,10566,9654,-,94.6,0.0,71565312,1442344960,75612160,1446543360,28270749,340258813,1246,3349,0,340258816,1387,198,/input/data/work/b6/4cac30d91909778b59dbee12fe2d38,true,-,7,1,11,30
46,hu-worker-c43,5e/a10953,nf-5ea10953d139c7b970cd3522894f8cb5,task_sifting,-,task_sifting (13),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714575208230,1714575210000,1714575223000,14770,12634,-,122.6,0.0,72122368,1442324480,76099584,1446522880,37978053,340258814,1248,3349,0,340258816,17,157,/input/data/work/5e/a10953d139c7b970cd3522894f8cb5,true,-,8,1,5,32
37,hu-worker-c23,47/9f5b9f,nf-479f5b9f9a3caa876b7811422a9b6226,task_sifting,-,task_sifting (4),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714575208633,1714575210000,1714575232000,23367,19227,-,88.6,0.0,71974912,1442344960,76017664,1446543360,29322136,1700146345,1246,16629,0,1700147200,6882,615,/input/data/work/47/9f5b9f9a3caa876b7811422a9b6226,true,-,5,1,4,26
45,hu-worker-c23,25/6bc545,nf-256bc545824a05e5cc1b2ee032a07daa,task_sifting,-,task_sifting (12),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714575208792,1714575210000,1714575230000,21208,16272,-,82.7,0.0,71614464,1442344960,75661312,1446543360,16391319,2205749279,1243,21567,0,2205749248,8426,1138,/input/data/work/25/6bc545824a05e5cc1b2ee032a07daa,true,-,5,1,5,28
1,hu-worker-c23,70/19e69f,nf-7019e69f8d1b08200e49e9c2ea2cc73b,task_sifting,-,task_sifting (1),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,3167538381,1,1714575209661,1714575210000,1714575235000,25339,21747,-,82.9,0.0,72163328,1442344960,76210176,1446543360,26748081,2346407646,1245,22941,4198400,2346409984,13660,999,/input/data/work/70/19e69f8d1b08200e49e9c2ea2cc73b,true,-,103,1,6,32
