task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
1,hu-worker-c23,89/6f6d8f,nf-896f6d8fe72b6a546a72dc2b028c2ad6,task_mProject,-,task_mProject (1),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749971778,1714749977000,1714750059000,87222,81817,-,1095.7,0.0,97550336,1514827776,97550336,1514827776,76291983,151868516,1414,1533,0,151867392,35,2246,/input/data/work/89/6f6d8fe72b6a546a72dc2b028c2ad6,true,-,5,1,4,36
17,hu-worker-c43,fd/20ccab,nf-fd20ccabf129da1da36142af3a056785,task_mProject,-,task_mProject (17),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749971905,1714749969000,1714750048000,76095,78581,-,1069.6,0.0,97325056,1514823680,97325056,1514823680,35132573,43471123,1404,474,0,43470848,29,1411,/input/data/work/fd/20ccabf129da1da36142af3a056785,true,-,6,1,5,30
5,hu-worker-c43,fb/55a66a,nf-fb55a66abf007ec5319e9230b07baa64,task_mProject,-,task_mProject (5),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749971945,1714749968000,1714750048000,76055,78763,-,1059.5,0.0,93437952,1514823680,97439744,1514823680,49437234,176687590,1408,1775,0,176689152,33,934,/input/data/work/fb/55a66abf007ec5319e9230b07baa64,true,-,5,0,4,30
9,hu-worker-c23,78/dc2a1e,nf-78dc2a1ef6abe6d3553f465a4f37a0b9,task_mProject,-,task_mProject (9),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749971679,1714749977000,1714750062000,90321,84199,-,960.4,0.0,93564928,1514827776,97615872,1514827776,63896754,152182316,1411,1536,0,152182784,754,1971,/input/data/work/78/dc2a1ef6abe6d3553f465a4f37a0b9,true,-,35,13,42,84
8,hu-worker-c40,3e/ab6ac2,nf-3eab6ac2834b31cba1c91a70f849bee8,task_mProject,-,task_mProject (8),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749971730,1714749984000,1714750091000,119270,106729,-,1072.3,0.0,97439744,1514823680,97439744,1514823680,62793387,144092485,1411,1457,0,144093184,51,3406,/input/data/work/3e/ab6ac2834b31cba1c91a70f849bee8,true,-,6,1,5,36
10,hu-worker-c40,e2/9a3ed8,nf-e29a3ed8006499efc3387e95450be665,task_mProject,-,task_mProject (10),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749971862,1714749984000,1714750093000,121138,108345,-,1020.3,0.0,93368320,1514827776,97419264,1514827776,31412628,154451953,1404,1558,0,154451968,37,2651,/input/data/work/e2/9a3ed8006499efc3387e95450be665,true,-,5,1,4,31
7,hu-worker-c29,69/10656b,nf-6910656bb83d2c821cf976e1e3786848,task_mProject,-,task_mProject (7),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749971820,1714749972000,1714750116000,144180,143568,-,1087.8,0.0,98291712,1514958848,98291712,1514958848,75653700,67036879,1414,704,0,67035136,44,6366,/input/data/work/69/10656bb83d2c821cf976e1e3786848,true,-,5,1,4,31
31,hu-worker-c29,c3/05477c,nf-c305477c626e97a5481b85ea57e4e5e4,task_mProject,-,task_mProject (31),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749971986,1714749972000,1714750113000,141014,140696,-,1045.0,0.0,93401088,1514823680,97386496,1514823680,44197645,156593885,1407,1579,0,156594176,35,5723,/input/data/work/c3/05477c626e97a5481b85ea57e4e5e4,true,-,5,1,5,29
170,hu-worker-c43,1d/1a9e20,nf-1d1a9e20c051b3d9cc4bbb95e4ee7c41,task_mProject,-,task_mProject (170),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749979110,1714750050000,1714750129000,149890,78266,-,1020.2,0.0,97693696,1514827776,97693696,1514827776,16992318,179043132,1400,1798,0,179044352,32,1083,/input/data/work/1d/1a9e20c051b3d9cc4bbb95e4ee7c41,true,-,6,1,4,27
77,hu-worker-c23,bb/35fa3c,nf-bb35fa3c3c6594ece473adb2de7950d3,task_mProject,-,task_mProject (77),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749975218,1714750062000,1714750140000,164782,78365,-,1028.7,0.0,97820672,1514835968,97820672,1514835968,16992971,105648815,1400,1081,0,105648128,29,2121,/input/data/work/bb/35fa3c3c6594ece473adb2de7950d3,true,-,9,1,4,31
130,hu-worker-c43,99/d5d350,nf-99d5d350fb2e62c6b31db94bf847e531,task_mProject,-,task_mProject (130),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749977623,1714750058000,1714750136000,158377,78201,-,1077.5,0.0,97443840,1514835968,97443840,1514835968,16992620,160953967,1400,1621,0,160952320,31,1280,/input/data/work/99/d5d350fb2e62c6b31db94bf847e531,true,-,6,1,3,28
133,hu-worker-c23,9a/669a6c,nf-9a669a6ca6e6524becfce496ee138c26,task_mProject,-,task_mProject (133),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749977434,1714750064000,1714750146000,168566,81676,-,1076.5,0.0,93491200,1514827776,97538048,1514827776,16994104,107813648,1400,1102,0,107814912,41,2578,/input/data/work/9a/669a6ca6e6524becfce496ee138c26,true,-,6,0,3,27
229,hu-worker-c43,28/7da5ae,nf-287da5ae9c54f93306b2fbd03d27fa2e,task_mDiffFit,-,task_mDiffFit (1),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2201170739,1,1714750145867,1714750142000,1714750146000,133,4480,-,125.6,0.0,75812864,1446567936,75812864,1446567936,323293397,1998,1322,29,0,4096,37,98,/input/data/work/28/7da5ae9c54f93306b2fbd03d27fa2e,true,-,30,39,21,43
122,hu-worker-c40,20/09698f,nf-2009698f38bf40f6972dadbee2d7876d,task_mProject,-,task_mProject (122),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749977021,1714750095000,1714750205000,227979,108982,-,1055.3,0.0,97439744,1514823680,97439744,1514823680,17850696,113123534,1400,1154,0,113123328,37,1681,/input/data/work/20/09698f38bf40f6972dadbee2d7876d,true,-,6,1,3,29
34,hu-worker-c40,08/c427da,nf-08c427da73fd8d8ea80f766d00e10440,task_mProject,-,task_mProject (34),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749973245,1714750093000,1714750202000,228755,108703,-,1012.4,0.0,93499392,1514840064,97497088,1514840064,16994168,50136987,1400,539,0,50135040,37,2821,/input/data/work/08/c427da73fd8d8ea80f766d00e10440,true,-,5,1,5,26
186,hu-worker-c43,f5/fd8df2,nf-f5fd8df27dbb24dcebcbf78922e6a926,task_mProject,-,task_mProject (186),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749979856,1714750131000,1714750210000,230144,78165,-,1013.4,0.0,97574912,1514823680,97574912,1514823680,84069787,154725232,1416,1560,0,154726400,35,1611,/input/data/work/f5/fd8df27dbb24dcebcbf78922e6a926,true,-,6,1,2,29
134,hu-worker-c43,49/6e339a,nf-496e339a3960b1adf7b62b7ec417037a,task_mProject,-,task_mProject (134),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749977471,1714750138000,1714750217000,239529,78337,-,1097.2,0.0,93728768,1514823680,97701888,1514823680,83984485,96559826,1416,992,0,96559104,36,1681,/input/data/work/49/6e339a3960b1adf7b62b7ec417037a,true,-,6,0,3,27
230,hu-worker-c29,74/2b3ff1,nf-742b3ff10eb14848724c218ae9fe52d0,task_mDiffFit,-,task_mDiffFit (2),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2201170739,1,1714750217001,1714750218000,1714750225000,7999,7358,-,113.4,0.0,75968512,1446567936,75968512,1446567936,308974875,1999,1318,29,4194304,4096,38,124,/input/data/work/74/2b3ff10eb14848724c218ae9fe52d0,true,-,7,1,4,29
64,hu-worker-c23,a7/60392d,nf-a760392d421dcc45a472b321bfcc3ee2,task_mProject,-,task_mProject (64),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749974632,1714750148000,1714750229000,254368,80658,-,1125.8,0.0,97284096,1514823680,97284096,1514823680,83781084,70302773,1416,736,0,70303744,41,2345,/input/data/work/a7/60392d421dcc45a472b321bfcc3ee2,true,-,6,1,4,29
71,hu-worker-c23,e3/322fcc,nf-e3322fcc357395eab694cf1e7952d36e,task_mProject,-,task_mProject (71),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749974884,1714750143000,1714750223000,248116,79871,-,941.3,0.0,93261824,1514823680,97255424,1514823680,83882029,28973861,1416,332,4194304,28975104,37,2222,/input/data/work/e3/322fcc357395eab694cf1e7952d36e,true,-,6,1,7,31
185,hu-worker-c29,f3/bff629,nf-f3bff6299b1ce594e2d26d41c2de81ad,task_mProject,-,task_mProject (185),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749979818,1714750119000,1714750260000,280182,140540,-,1100.7,0.0,97529856,1514827776,97529856,1514827776,84209767,137190378,1416,1389,0,137191424,557,6305,/input/data/work/f3/bff6299b1ce594e2d26d41c2de81ad,true,-,7,0,3,27
145,hu-worker-c29,95/fa37c6,nf-95fa37c6c4a8db721c50499c35b7eeac,task_mProject,-,task_mProject (145),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749978066,1714750116000,1714750260000,281934,143321,-,1018.9,0.0,97603584,1514823680,97603584,1514823680,18206544,58525284,1400,621,0,58523648,36,4400,/input/data/work/95/fa37c6c4a8db721c50499c35b7eeac,true,-,6,1,3,30
160,hu-worker-c40,9f/d2706e,nf-9fd2706ea7c009832699b867c031aaa5,task_mProject,-,task_mProject (160),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749978663,1714750204000,1714750311000,332337,106338,-,1078.3,0.0,93097984,1514827776,97148928,1514827776,83436263,161985862,1416,1631,0,161984512,44,2801,/input/data/work/9f/d2706ea7c009832699b867c031aaa5,true,-,6,1,3,28
78,hu-worker-c23,91/8bed11,nf-918bed11dd226faa472bb98ca370f63a,task_mProject,-,task_mProject (78),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749975359,1714750225000,1714750305000,329641,79718,-,985.0,0.0,97443840,1514840064,97443840,1514840064,82414174,16502746,1416,211,0,16502784,35,2135,/input/data/work/91/8bed11dd226faa472bb98ca370f63a,true,-,6,1,8,31
96,hu-worker-c43,c3/67ff7d,nf-c367ff7d38943d9339b074ce93c177e7,task_mProject,-,task_mProject (96),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749975988,1714750212000,1714750294000,318012,81055,-,970.3,0.0,93339648,1514827776,97386496,1514827776,82604475,54955481,1416,586,0,54956032,37,1500,/input/data/work/c3/67ff7d38943d9339b074ce93c177e7,true,-,6,1,3,29
124,hu-worker-c40,54/5a132e,nf-545a132e6c9eed90850ccc57b71e4025,task_mProject,-,task_mProject (124),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749977187,1714750207000,1714750314000,336813,106235,-,1035.1,0.0,93577216,1514827776,97619968,1514827776,83360107,16502748,1416,211,0,16502784,42,2113,/input/data/work/54/5a132e6c9eed90850ccc57b71e4025,true,-,6,1,3,27
188,hu-worker-c43,d0/5fc6c1,nf-d05fc6c1248547ce5f16a51d08a0876f,task_mProject,-,task_mProject (188),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749979893,1714750219000,1714750301000,321107,81151,-,1058.7,0.0,97624064,1514823680,97624064,1514823680,82475577,78108506,1416,812,0,78106624,44,1253,/input/data/work/d0/5fc6c1248547ce5f16a51d08a0876f,true,-,6,1,2,27
232,hu-worker-c29,f7/284f72,nf-f7284f7279626d2bdc7257cce15d7d15,task_mDiffFit,-,task_mDiffFit (4),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2201170739,1,1714750301167,1714750302000,1714750310000,8833,7852,-,102.8,0.0,75980800,1446567936,75980800,1446567936,316234377,1999,1320,29,0,4096,54,124,/input/data/work/f7/284f7279626d2bdc7257cce15d7d15,true,-,7,1,3,35
231,hu-worker-c29,52/e99a32,nf-52e99a32ce2d4b6018e270d77029101c,task_mDiffFit,-,task_mDiffFit (3),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2201170739,1,1714750301207,1714750302000,1714750310000,8793,7749,-,110.5,0.0,76046336,1446567936,76046336,1446567936,326867040,2000,1322,29,0,4096,53,137,/input/data/work/52/e99a32ce2d4b6018e270d77029101c,true,-,6,1,2,26
94,hu-worker-c23,94/39390a,nf-9439390ab7def4d799fc5a890d63b341,task_mProject,-,task_mProject (94),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749975949,1714750231000,1714750312000,336051,80441,-,1087.4,0.0,93933568,1514823680,97906688,1514823680,82375089,112200820,1416,1145,0,112201728,35,2523,/input/data/work/94/39390ab7def4d799fc5a890d63b341,true,-,6,1,3,21
233,hu-worker-c29,d0/ccddb5,nf-d0ccddb51f0732759caf9f5bb5b42ef5,task_mDiffFit,-,task_mDiffFit (5),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2201170739,1,1714750308371,1714750309000,1714750316000,7629,7025,-,102.7,0.0,75845632,1446567936,75845632,1446567936,221706350,1999,1298,29,0,4096,12,429,/input/data/work/d0/ccddb51f0732759caf9f5bb5b42ef5,true,-,6,1,5,37
235,hu-worker-c29,5f/dbd50c,nf-5fdbd50c4c557d800340344085fc7182,task_mDiffFit,-,task_mDiffFit (7),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2201170739,1,1714750308410,1714750309000,1714750317000,8590,7158,-,106.2,0.0,76210176,1446567936,76210176,1446567936,172926168,1999,1286,29,0,4096,21,503,/input/data/work/5f/dbd50c4c557d800340344085fc7182,true,-,7,1,5,26
234,hu-worker-c29,85/30568d,nf-8530568d66e9a2b709aae0457beb473c,task_mDiffFit,-,task_mDiffFit (6),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2201170739,1,1714750308451,1714750309000,1714750316000,7549,7249,-,99.7,0.0,76075008,1446567936,76075008,1446567936,170760197,1998,1286,29,4194304,4096,20,432,/input/data/work/85/30568d66e9a2b709aae0457beb473c,true,-,7,1,3,29
236,hu-worker-c29,91/819561,nf-9181956177aea36f1f1e6d535fb94eb4,task_mDiffFit,-,task_mDiffFit (8),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2201170739,1,1714750310235,1714750311000,1714750318000,7765,7276,-,104.0,0.0,75915264,1446567936,75915264,1446567936,163849930,2000,1283,29,0,4096,12,281,/input/data/work/91/81956177aea36f1f1e6d535fb94eb4,true,-,7,1,4,28
237,hu-worker-c29,a5/cb4813,nf-a5cb48131bbbf97bf9b355395e1abad3,task_mDiffFit,-,task_mDiffFit (9),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2201170739,1,1714750310295,1714750311000,1714750319000,8705,7493,-,104.0,0.0,76099584,1446567936,76099584,1446567936,139783552,2000,1277,29,0,4096,26,393,/input/data/work/a5/cb48131bbbf97bf9b355395e1abad3,true,-,6,3,3,47
238,hu-worker-c29,b3/6ff2c6,nf-b36ff2c65fb9a13b197d611e9469f4f0,task_mDiffFit,-,task_mDiffFit (10),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2201170739,1,1714750314098,1714750315000,1714750322000,7902,7432,-,101.0,0.0,75952128,1446567936,75952128,1446567936,267309193,1999,1308,29,0,4096,38,237,/input/data/work/b3/6ff2c65fb9a13b197d611e9469f4f0,true,-,10,1,10,99
152,hu-worker-c43,c2/7ee8af,nf-c27ee8afc1e49bf13a95c26918f9a852,task_mProject,-,task_mProject (152),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749978427,1714750296000,1714750375000,396573,78699,-,946.7,0.0,97370112,1514827776,97370112,1514827776,82228830,173070718,1416,1740,0,173072384,35,1259,/input/data/work/c2/7ee8afc1e49bf13a95c26918f9a852,true,-,6,1,3,29
156,hu-worker-c23,b8/8be26e,nf-b88be26eab46960384fb6ee23601a39d,task_mProject,-,task_mProject (156),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749978585,1714750307000,1714750386000,407415,78894,-,992.5,0.0,93532160,1514827776,97579008,1514827776,81926077,122834288,1416,1249,0,122834944,372,1759,/input/data/work/b8/8be26eab46960384fb6ee23601a39d,true,-,5,1,3,28
49,hu-worker-c43,8b/8f243e,nf-8b8f243e5115aaeba898b1d7bc70ab2f,task_mProject,-,task_mProject (49),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749973932,1714750303000,1714750383000,409068,78959,-,1120.2,0.0,93306880,1514823680,97280000,1514823680,81897242,106177680,1416,1086,0,106176512,35,1183,/input/data/work/8b/8f243e5115aaeba898b1d7bc70ab2f,true,-,7,1,5,32
148,hu-worker-c23,ac/34af39,nf-ac34af399134383f67b1c435b56459ec,task_mProject,-,task_mProject (148),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714749978191,1714750314000,1714750393000,414809,78801,-,1100.1,0.0,97374208,1514827776,97374208,1514827776,81863910,134470263,1416,1363,0,134471680,32,2508,/input/data/work/ac/34af399134383f67b1c435b56459ec,true,-,7,1,9,28
239,hu-worker-c29,c1/e693b3,nf-c1e693b36d85838a03b9afcce957aea8,task_mDiffFit,-,task_mDiffFit (11),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2201170739,1,1714750388390,1714750389000,1714750394000,5610,4630,-,131.1,0.0,75771904,1446567936,75771904,1446567936,161964772,1999,1283,29,0,4096,49,71,/input/data/work/c1/e693b36d85838a03b9afcce957aea8,true,-,7,1,4,36
240,hu-worker-c29,9e/5d05a2,nf-9e5d05a26a3181da009b4d1e8f450df7,task_mDiffFit,-,task_mDiffFit (12),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2201170739,1,1714750393068,1714750393000,1714750398000,4932,4661,-,143.9,0.0,75833344,1446567936,75833344,1446567936,228535596,1999,1299,29,0,4096,35,87,/input/data/work/9e/5d05a26a3181da009b4d1e8f450df7,true,-,4,1,3,28
242,hu-worker-c29,3b/598595,nf-3b598595c17d303fc7c296b41c049d90,task_mDiffFit,-,task_mDiffFit (14),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2201170739,1,1714750396904,1714750397000,1714750402000,5096,4847,-,137.9,0.0,75923456,1446567936,75923456,1446567936,281817772,1999,1312,29,0,4096,53,77,/input/data/work/3b/598595c17d303fc7c296b41c049d90,true,-,5,1,3,24
241,hu-worker-c29,6d/b61ca7,nf-6db61ca7d27c9b46592118ffba7bf70e,task_mDiffFit,-,task_mDiffFit (13),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2201170739,1,1714750396943,1714750397000,1714750402000,5057,4643,-,142.1,0.0,75968512,1446699008,75968512,1446699008,161129393,2000,1283,29,0,4096,49,60,/input/data/work/6d/b61ca7d27c9b46592118ffba7bf70e,true,-,4,1,3,31
