task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
28,hu-worker-c23,56/8bc6e0,nf-568bc6e0544d1d702eb96c08e4401cc1,task_mProject,-,task_mProject (28),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714471301060,1714471309000,1714471392000,90940,82056,-,1007.9,0.0,97558528,1514835968,97558528,1514835968,61543167,161267494,1411,1624,0,161267712,41,2992,/input/data/work/56/8bc6e0544d1d702eb96c08e4401cc1,true,-,35,13,42,90
9,hu-worker-c43,24/f2969d,nf-24f2969deb5bfe7941e41f7190bb5752,task_mProject,-,task_mProject (9),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714471301147,1714471304000,1714471383000,81853,78522,-,1077.5,0.0,93446144,1514823680,97443840,1514823680,63895989,152182314,1411,1536,0,152182784,34,1031,/input/data/work/24/f2969deb5bfe7941e41f7190bb5752,true,-,6,1,4,33
26,hu-worker-c23,e7/e41452,nf-e7e41452ab1c80189c6dce10a47f998a,task_mProject,-,task_mProject (26),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714471301240,1714471310000,1714471392000,90760,82287,-,1065.4,0.0,97628160,1514827776,97628160,1514827776,80552283,72055174,1415,753,0,72056832,37,2752,/input/data/work/e7/e41452ab1c80189c6dce10a47f998a,true,-,5,1,5,37
14,hu-worker-c43,de/54857f,nf-de54857f897f1e197cb0f2119b6e77e9,task_mProject,-,task_mProject (14),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714471301323,1714471304000,1714471384000,82677,79762,-,1044.9,0.0,93421568,1514827776,97464320,1514827776,63945994,117183669,1411,1194,0,117182464,388,1226,/input/data/work/de/54857f897f1e197cb0f2119b6e77e9,true,-,5,1,4,29
7,hu-worker-c40,5d/163100,nf-5d163100c0b3c632a713f36da1dcb1fa,task_mProject,-,task_mProject (7),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714471301191,1714471313000,1714471424000,122809,111291,-,1048.4,0.0,93720576,1514823680,97689600,1514823680,75653500,67036896,1414,704,4194304,67035136,45,7670,/input/data/work/5d/163100c0b3c632a713f36da1dcb1fa,true,-,6,1,5,31
3,hu-worker-c40,e7/49f0a1,nf-e749f0a16dafbae2781bbcf1f9394a9a,task_mProject,-,task_mProject (3),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714471301366,1714471313000,1714471422000,120634,109574,-,1062.1,0.0,93347840,1514827776,97329152,1514827776,58583213,62948197,1410,664,0,62947328,43,4281,/input/data/work/e7/49f0a16dafbae2781bbcf1f9394a9a,true,-,6,1,5,29
31,hu-worker-c29,7d/1cbe37,nf-7d1cbe37939c9ccf9e4a3088cff64db8,task_mProject,-,task_mProject (31),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714471301102,1714471301000,1714471443000,141898,141467,-,1080.5,0.0,93696000,1514827776,97669120,1514827776,44197498,156593884,1407,1579,0,156594176,618,8442,/input/data/work/7d/1cbe37939c9ccf9e4a3088cff64db8,true,-,6,2,4,28
16,hu-worker-c29,86/bde13b,nf-86bde13b835a1ac933ab89c40baa2159,task_mProject,-,task_mProject (16),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714471301283,1714471302000,1714471440000,138717,138398,-,1106.8,0.0,93618176,1514827776,97669120,1514827776,81978116,41394992,1416,454,0,41394176,37,7995,/input/data/work/86/bde13b835a1ac933ab89c40baa2159,true,-,7,1,4,30
77,hu-worker-c43,86/54af02,nf-8654af02a278229ccf572978e8aa58e7,task_mProject,-,task_mProject (77),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714471304500,1714471387000,1714471464000,159500,77562,-,1129.8,0.0,93896704,1514827776,97947648,1514827776,16992206,105648812,1400,1081,0,105648128,24,1125,/input/data/work/86/54af02a278229ccf572978e8aa58e7,true,-,7,1,3,29
170,hu-worker-c43,2b/556e78,nf-2b556e78e7927c8ad33531ed3ca96e0b,task_mProject,-,task_mProject (170),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,12,-,-,23396834345,1,1714471309087,1714471386000,1714471464000,154913,78017,-,1012.9,0.0,97804288,1514958848,97804288,1514958848,16992168,179043130,1400,1798,0,179044352,31,1143,/input/data/work/2b/556e78e7927c8ad33531ed3ca96e0b,true,-,8,1,3,28
229,hu-worker-c40,44/15658e,nf-4415658e5267d38b69fb3cf3a9cb708d,task_mDiffFit,-,task_mDiffFit (1),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2201170739,1,1714471473894,1714471485000,1714471491000,17106,5868,-,113.1,0.0,76050432,1446567936,76050432,1446567936,350467387,2016,1328,29,12587008,4096,58,143,/input/data/work/44/15658e5267d38b69fb3cf3a9cb708d,true,-,6,1,5,34
