task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
5,hu-worker-c23,c5/a8f994,nf-c5a8f99489fb42203e78794da8f36c68,task_sG1IterDecon,-,task_sG1IterDecon (5),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714664138259,1714664147000,1714664164000,25741,15963,-,614.1,0.0,85524480,1485770752,89497600,1489969152,21415004,224418569,1342,2232,0,224419840,26,477,/input/data/work/c5/a8f99489fb42203e78794da8f36c68,true,-,36,13,97,156
21,hu-worker-c43,ee/fbc4bf,nf-eefbc4bffcdc6026825b45c62ddd7046,task_sG1IterDecon,-,task_sG1IterDecon (21),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714664138455,1714664138000,1714664156000,17545,17477,-,690.2,0.0,85721088,1485774848,89686016,1489973248,21414422,150449083,1342,1510,0,150450176,28,198,/input/data/work/ee/fbc4bffcdc6026825b45c62ddd7046,true,-,6,1,4,30
30,hu-worker-c43,1e/fd9f0e,nf-1efd9f0e0236d0f55ecabd747653cd31,task_sG1IterDecon,-,task_sG1IterDecon (30),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714664138369,1714664138000,1714664175000,36631,36138,-,690.2,0.0,85561344,1485774848,89526272,1489973248,40373092,215400234,1347,2144,8396800,215400448,33,623,/input/data/work/1e/fd9f0e0236d0f55ecabd747653cd31,true,-,6,1,5,43
28,hu-worker-c43,b3/3b5672,nf-b33b5672484559e954cca495c5285332,task_sG1IterDecon,-,task_sG1IterDecon (28),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714664138576,1714664138000,1714664172000,33424,33139,-,672.6,0.0,85827584,1485774848,89792512,1489973248,37029359,232298988,1346,2309,0,232300544,31,513,/input/data/work/b3/3b5672484559e954cca495c5285332,true,-,5,1,5,24
2,hu-worker-c29,ea/ea2bae,nf-eaea2bae3878b4ca594af399955f7820,task_sG1IterDecon,-,task_sG1IterDecon (2),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714664138697,1714664139000,1714664170000,31303,30113,-,672.6,0.0,85725184,1485770752,89722880,1489969152,21414981,185576843,1342,1853,0,185577472,27,1361,/input/data/work/ea/ea2bae3878b4ca594af399955f7820,true,-,5,1,5,29
27,hu-worker-c43,67/cf6af9,nf-67cf6af96e047b1372b09c030f7672c1,task_sG1IterDecon,-,task_sG1IterDecon (27),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714664139075,1714664158000,1714664172000,32925,13728,-,692.7,0.0,85733376,1485774848,89706496,1489973248,21414394,49948606,1342,528,0,49950720,23,182,/input/data/work/67/cf6af96e047b1372b09c030f7672c1,true,-,5,1,4,29
8,hu-worker-c23,a8/59dfaf,nf-a859dfafd4c60c0709d04d33803b9d70,task_sG1IterDecon,-,task_sG1IterDecon (8),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714664139335,1714664167000,1714664185000,45665,17457,-,670.0,0.0,85692416,1485766656,89665536,1489965056,21415006,221110477,1342,2200,0,221110272,123,418,/input/data/work/a8/59dfafd4c60c0709d04d33803b9d70,true,-,5,1,5,28
37,hu-worker-c43,15/ddd568,nf-15ddd56865ac6af4a9e92c5955ea1d5e,task_sG1IterDecon,-,task_sG1IterDecon (37),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714664140118,1714664174000,1714664188000,47882,13565,-,679.6,0.0,85606400,1485770752,89583616,1489969152,21414395,99945341,1342,1017,0,99946496,23,374,/input/data/work/15/ddd56865ac6af4a9e92c5955ea1d5e,true,-,5,1,6,28
39,hu-worker-c43,7e/7d9804,nf-7e7d9804700e1ee7f624771b998f759e,task_sG1IterDecon,-,task_sG1IterDecon (39),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714664140349,1714664175000,1714664189000,48651,13401,-,681.7,0.0,85737472,1485770752,89735168,1489969152,21414397,110437782,1342,1119,0,110436352,24,221,/input/data/work/7e/7d9804700e1ee7f624771b998f759e,true,-,5,1,6,30
45,hu-worker-c43,0e/0e2a6b,nf-0e0e2a6b0461299023766af1204b9800,task_sG1IterDecon,-,task_sG1IterDecon (45),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714664140523,1714664177000,1714664192000,51477,13829,-,731.8,0.0,85712896,1485774848,89681920,1489973248,21414397,202386644,1342,2017,0,202387456,22,260,/input/data/work/0e/0e2a6b0461299023766af1204b9800,true,-,8,1,5,23
