task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
2,hu-worker-c23,af/94f796,nf-af94f796e70fc15c7a3048ed2bd6e94e,task_sG1IterDecon,-,task_sG1IterDecon (2),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714676079006,1714676089000,1714676107000,27994,17610,-,626.7,0.0,85278720,1485774848,89243648,1489973248,21415011,185576843,1342,1853,0,185577472,25,350,/input/data/work/af/94f796e70fc15c7a3048ed2bd6e94e,true,-,8,2,5,33
27,hu-worker-c29,67/30164d,nf-6730164d261dc0de814b34b1b5b18aa2,task_sG1IterDecon,-,task_sG1IterDecon (27),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714676079108,1714676079000,1714676106000,26892,26737,-,705.6,0.0,85639168,1485770752,89640960,1489969152,21414985,49948609,1342,528,0,49950720,24,1191,/input/data/work/67/30164d261dc0de814b34b1b5b18aa2,true,-,6,1,5,32
5,hu-worker-c43,e7/0fdbf0,nf-e70fdbf0c6c2a53fe1ac40b8f52d020c,task_sG1IterDecon,-,task_sG1IterDecon (5),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714676079387,1714676084000,1714676102000,22613,18199,-,687.4,0.0,85487616,1485770752,89485312,1489969152,21414410,224418568,1342,2232,0,224419840,21,261,/input/data/work/e7/0fdbf0c6c2a53fe1ac40b8f52d020c,true,-,6,1,4,29
16,hu-worker-c43,28/877dcc,nf-28877dccaccac351c822fd1cbb89e5b4,task_sG1IterDecon,-,task_sG1IterDecon (16),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714676079228,1714676083000,1714676115000,35772,31095,-,663.0,0.0,86020096,1485770752,90017792,1489969152,33759101,225459703,1345,2242,0,225460224,23,554,/input/data/work/28/877dccaccac351c822fd1cbb89e5b4,true,-,5,1,5,23
21,hu-worker-c23,91/445a32,nf-91445a3231444fdf9889350e0f5eb76e,task_sG1IterDecon,-,task_sG1IterDecon (21),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714676079808,1714676111000,1714676129000,49192,17848,-,723.4,0.0,85647360,1485770752,89640960,1489969152,21415011,150449067,1342,1510,4194304,150450176,20,472,/input/data/work/91/445a3231444fdf9889350e0f5eb76e,true,-,5,1,5,33
10,hu-worker-c43,ca/19b377,nf-ca19b37708520b9381d432534c1c6e28,task_sG1IterDecon,-,task_sG1IterDecon (10),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714676079978,1714676106000,1714676120000,40022,13533,-,670.1,0.0,85860352,1485766656,89841664,1489965056,21414409,162228329,1342,1625,0,162230272,23,405,/input/data/work/ca/19b37708520b9381d432534c1c6e28,true,-,5,1,4,34
37,hu-worker-c43,57/808646,nf-57808646c2a5683c4cfbee8eea069d11,task_sG1IterDecon,-,task_sG1IterDecon (37),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714676080917,1714676118000,1714676132000,51083,13669,-,701.4,0.0,85872640,1485774848,89837568,1489973248,21414406,99945341,1342,1017,0,99946496,20,423,/input/data/work/57/808646c2a5683c4cfbee8eea069d11,true,-,6,1,4,32
8,hu-worker-c29,b1/77d3c8,nf-b177d3c85cb13731c4f30726f1e4ffa6,task_sG1IterDecon,-,task_sG1IterDecon (8),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714676079644,1714676110000,1714676141000,61356,30377,-,619.4,0.0,85762048,1485774848,89726976,1489973248,21414988,221110477,1342,2200,0,221110272,25,1135,/input/data/work/b1/77d3c85cb13731c4f30726f1e4ffa6,true,-,5,1,5,27
39,hu-worker-c43,47/b27b0d,nf-47b27b0db313a0b82ac90c997fb35198,task_sG1IterDecon,-,task_sG1IterDecon (39),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714676081001,1714676123000,1714676137000,55999,13446,-,734.6,0.0,85229568,1485770752,89231360,1489969152,21414408,110437782,1342,1119,0,110436352,21,423,/input/data/work/47/b27b0db313a0b82ac90c997fb35198,true,-,7,1,5,26
45,hu-worker-c23,38/988aac,nf-38988aac1f788f7690fcd2eee2750e00,task_sG1IterDecon,-,task_sG1IterDecon (45),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,8,-,-,23396834345,1,1714676081259,1714676132000,1714676150000,68741,17878,-,628.6,0.0,85319680,1485770752,89296896,1489969152,21415010,202386646,1342,2017,0,202387456,25,421,/input/data/work/38/988aac1f788f7690fcd2eee2750e00,true,-,8,1,5,25
