task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
9,hu-worker-c40,aa/db2fa3,nf-aadb2fa3b33148d8141b45755fc3c9cc,task_alignment_to_reference,-,task_alignment_to_reference (9),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2512555868,1,1714679138610,1714679150000,1714679159000,20390,8460,-,132.7,0.0,75739136,1446572032,75739136,1446572032,24223131,48402953,1274,509,0,48402432,37,100,/input/data/work/aa/db2fa3b33148d8141b45755fc3c9cc,true,-,6,1,4,34
20,hu-worker-c40,d7/365283,nf-d7365283780f96ce2ca0acc2ea27d0c2,task_alignment_to_reference,-,task_alignment_to_reference (20),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2512555868,1,1714679139071,1714679151000,1714679159000,19929,8106,-,131.0,0.0,75915264,1446588416,75915264,1446588416,24223120,48402931,1274,509,4194304,48402432,42,165,/input/data/work/d7/365283780f96ce2ca0acc2ea27d0c2,true,-,5,1,4,29
22,hu-worker-c40,2c/526da1,nf-2c526da1103cb0307d3ef1f8355ecbd0,task_alignment_to_reference,-,task_alignment_to_reference (22),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2512555868,1,1714679139148,1714679151000,1714679159000,19852,7754,-,118.9,0.0,75972608,1446576128,75972608,1446576128,24223143,48402948,1274,509,0,48402432,183,124,/input/data/work/2c/526da1103cb0307d3ef1f8355ecbd0,true,-,6,1,4,26
38,hu-worker-c23,2c/84f42a,nf-2c84f42a1a3eae0635aa7cf0827e7ff4,task_alignment_to_reference,-,task_alignment_to_reference (38),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2512555868,1,1714679140031,1714679140000,1714679146000,5969,5928,-,140.4,0.0,75890688,1446580224,75890688,1446580224,24223164,48402970,1274,509,0,48402432,37,141,/input/data/work/2c/84f42a1a3eae0635aa7cf0827e7ff4,true,-,11,1,4,30
39,hu-worker-c23,b7/9a5398,nf-b79a5398d4eb0ff7af0c7ecf9afa20da,task_alignment_to_reference,-,task_alignment_to_reference (39),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2512555868,1,1714679140080,1714679141000,1714679151000,10920,10552,-,118.8,0.0,76234752,1446572032,76234752,1446572032,24223143,48402953,1274,509,0,48402432,110,88,/input/data/work/b7/9a5398d4eb0ff7af0c7ecf9afa20da,true,-,8,1,5,34
42,hu-worker-c23,56/936edd,nf-56936eddef81565a28b9f5f3bbb61bf3,task_alignment_to_reference,-,task_alignment_to_reference (42),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2512555868,1,1714679140216,1714679141000,1714679147000,6784,6663,-,121.1,0.0,76251136,1446580224,76251136,1446580224,24223140,48402952,1274,509,0,48402432,42,292,/input/data/work/56/936eddef81565a28b9f5f3bbb61bf3,true,-,6,1,4,34
45,hu-worker-c29,01/1affa1,nf-011affa1869eae4b4e66ddc91a0758e3,task_alignment_to_reference,-,task_alignment_to_reference (45),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2512555868,1,1714679140355,1714679141000,1714679152000,11645,10691,-,119.7,0.0,76058624,1446572032,76058624,1446572032,24223120,48402953,1274,509,20971520,48402432,20,143,/input/data/work/01/1affa1869eae4b4e66ddc91a0758e3,true,-,6,0,5,45
48,hu-worker-c23,b9/1ea026,nf-b91ea02615244003dcb10614c46a0fc5,task_alignment_to_reference,-,task_alignment_to_reference (48),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2512555868,1,1714679140523,1714679141000,1714679148000,7477,6629,-,124.3,0.0,75878400,1446576128,75878400,1446576128,24223128,48402930,1274,509,4198400,48402432,40,144,/input/data/work/b9/1ea02615244003dcb10614c46a0fc5,true,-,7,1,4,35
60,hu-worker-c29,57/c398f5,nf-57c398f55d59ed8902c30e094d793b45,task_alignment_to_reference,-,task_alignment_to_reference (60),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2512555868,1,1714679141155,1714679142000,1714679152000,10845,9923,-,114.8,0.0,76038144,1446567936,76038144,1446567936,24223107,48402931,1274,509,8388608,48402432,149,86,/input/data/work/57/c398f55d59ed8902c30e094d793b45,true,-,6,1,4,20
7,hu-worker-c23,8a/e47175,nf-8ae4717597bd20bd0782917853485618,task_alignment_to_reference,-,task_alignment_to_reference (7),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2512555868,1,1714679138521,1714679140000,1714679151000,12479,11431,-,121.2,0.0,76165120,1446580224,76165120,1446580224,24223131,48402931,1274,509,0,48402432,35,155,/input/data/work/8a/e4717597bd20bd0782917853485618,true,-,8,1,4,30
