task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
20,hu-worker-c40,d7/345520,nf-d7345520a1fab62c7fc655f4a0734213,task_alignment_to_reference,-,task_alignment_to_reference (20),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2512555868,1,1714697328949,1714697341000,1714697350000,21051,8312,-,116.3,0.0,76025856,1446588416,76025856,1446588416,24223133,48402930,1274,509,4194304,48402432,33,375,/input/data/work/d7/345520a1fab62c7fc655f4a0734213,true,-,6,1,4,29
22,hu-worker-c29,72/64b3c7,nf-7264b3c78666acb81a4815c5fc39ebb2,task_alignment_to_reference,-,task_alignment_to_reference (22),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2512555868,1,1714697329042,1714697330000,1714697340000,10958,10263,-,124.3,0.0,76054528,1446588416,76054528,1446588416,24223120,48402931,1274,509,0,48402432,12,113,/input/data/work/72/64b3c78666acb81a4815c5fc39ebb2,true,-,6,1,4,30
31,hu-worker-c23,fe/9e0c8a,nf-fe9e0c8a9af7b54b2bd21a441eb36dc7,task_alignment_to_reference,-,task_alignment_to_reference (31),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2512555868,1,1714697329528,1714697332000,1714697340000,10472,6923,-,135.0,0.0,75902976,1446572032,75902976,1446572032,24223172,48402948,1274,509,4198400,48402432,38,131,/input/data/work/fe/9e0c8a9af7b54b2bd21a441eb36dc7,true,-,5,1,4,28
48,hu-worker-c40,dc/d0f643,nf-dcd0f64390c87a2ed28f3a26a5afa33d,task_alignment_to_reference,-,task_alignment_to_reference (48),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2512555868,1,1714697330475,1714697343000,1714697352000,21525,8930,-,114.7,0.0,75997184,1446580224,75997184,1446580224,24223134,48402931,1274,509,25165824,48402432,29,123,/input/data/work/dc/d0f64390c87a2ed28f3a26a5afa33d,true,-,10,1,8,50
51,hu-worker-c23,eb/917ba3,nf-eb917ba3ee221ec126321827bc6df9ea,task_alignment_to_reference,-,task_alignment_to_reference (51),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2512555868,1,1714697330633,1714697332000,1714697339000,8367,6951,-,122.1,0.0,75993088,1446572032,75993088,1446572032,24223159,48402952,1274,509,0,48402432,36,367,/input/data/work/eb/917ba3ee221ec126321827bc6df9ea,true,-,7,1,5,29
58,hu-worker-c23,3e/901002,nf-3e901002ada6ea23a19ea4e6bc939479,task_alignment_to_reference,-,task_alignment_to_reference (58),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2512555868,1,1714697331220,1714697334000,1714697341000,9780,6860,-,121.3,0.0,75878400,1446572032,75878400,1446572032,24223160,48402952,1274,509,0,48402432,33,102,/input/data/work/3e/901002ada6ea23a19ea4e6bc939479,true,-,11,1,5,28
60,hu-worker-c40,8d/c9093e,nf-8dc9093ef5387815ed000147613098a0,task_alignment_to_reference,-,task_alignment_to_reference (60),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2512555868,1,1714697331263,1714697343000,1714697351000,19737,7775,-,119.8,0.0,76005376,1446567936,76005376,1446567936,24223156,48402948,1274,509,12587008,48402432,116,112,/input/data/work/8d/c9093ef5387815ed000147613098a0,true,-,6,1,7,28
4,hu-worker-c40,d5/87d178,nf-d587d17872060ae0835816d82dfce5c0,task_alignment_to_reference,-,task_alignment_to_reference (4),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2512555868,1,1714697328280,1714697340000,1714697351000,22720,10960,-,126.0,0.0,76193792,1446572032,76193792,1446572032,24223134,48402931,1274,509,4194304,48402432,89,169,/input/data/work/d5/87d17872060ae0835816d82dfce5c0,true,-,7,1,4,30
9,hu-worker-c43,a0/055c2e,nf-a0055c2e0b4dbe710d09901d4a47cd39,task_alignment_to_reference,-,task_alignment_to_reference (9),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2512555868,1,1714697328494,1714697333000,1714697340000,11506,6706,-,134.7,0.0,76226560,1446576128,76226560,1446576128,24222553,48402950,1274,509,4194304,48402432,52,263,/input/data/work/a0/055c2e0b4dbe710d09901d4a47cd39,true,-,6,1,4,29
12,hu-worker-c40,2c/2f3ca8,nf-2c2f3ca8d06a410f2ae10e86155a3d43,task_alignment_to_reference,-,task_alignment_to_reference (12),COMPLETED,0,-,friedricht/nf_wfbench:skip_mem_v11,1,-,-,2512555868,1,1714697328621,1714697340000,1714697357000,28379,15796,-,118.1,0.0,76029952,1446572032,76029952,1446572032,24223160,48402950,1274,509,12582912,48402432,183,189,/input/data/work/2c/2f3ca8d06a410f2ae10e86155a3d43,true,-,8,1,5,28
