task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
2,hu-worker-c40,fd/cd6889,nf-fdcd6889ed4d7c6489dcf25bcab2dfd6,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1712919101101,1712919106000,1712919106000,4899,0,-,70.1,0.0,3117056,5640192,3117056,5644288,713943,6239,279,18,8192,16384,4,4,/input/data/work/fd/cd6889ed4d7c6489dcf25bcab2dfd6,true,-,7,2,3,43
1,hu-worker-c23,af/aa7dbb,nf-afaa7dbb113f6df8d5726e144b5f99d9,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1712919101044,1712919104000,1712919116000,14956,11000,-,100.0,0.0,4816896,12550144,4816896,12554240,3147402909,5954,48261,20,12390400,16384,31,61,/input/data/work/af/aa7dbb113f6df8d5726e144b5f99d9,true,-,26,12,43,85
3,hu-worker-c23,24/7f0130,nf-247f01309b1ed13627525a2a6981147d,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1712919101154,1712919104000,1712919117000,15846,12000,-,92.8,0.4,1174732800,1186750464,1174732800,1186754560,4064228243,838279421,496316,104481,8192,838287360,40,1208,/input/data/work/24/7f01309b1ed13627525a2a6981147d,true,-,6,2,3,41
60,hu-worker-c40,1b/418ff9,nf-1b418ff9e4dce27c7f5a21668960ca85,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1712919102963,1712919108000,1712919201000,98037,92000,-,203.7,0.5,1220718592,5049425920,1220718592,5054353408,1417815734,3669187,2736070,11268,0,4321280,10,2,/input/data/work/1b/418ff9e4dce27c7f5a21668960ca85,true,-,6,2,2,28
75,hu-worker-c23,40/9833c6,nf-409833c6fd3d9dc04797355e81fec063,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1712919105476,1712919119000,1712919210000,104524,90000,-,202.3,0.4,1088442368,4969345024,1088671744,5036457984,1831956975,3672466,3544935,11309,0,4329472,7,2,/input/data/work/40/9833c6fd3d9dc04797355e81fec063,true,-,6,1,3,30
15,hu-worker-c40,e5/c10755,nf-e5c107551165c6c2a3924584378f3744,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1712919103474,1712919109000,1712919223000,119526,113000,-,202.8,0.4,1149321216,5045231616,1150128128,5047824384,1740178645,3670764,3365689,11314,0,4419584,12,8,/input/data/work/e5/c107551165c6c2a3924584378f3744,true,-,6,2,3,26
57,hu-worker-c43,fd/4bb170,nf-fd4bb1701cf46976986319e6e8665ca2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1712919102923,1712919109000,1712919223000,120077,113000,-,199.4,0.4,1139134464,4840747008,1140137984,4900134912,2401469060,3695696,4657264,11308,4194304,4435968,5,2,/input/data/work/fd/4bb1701cf46976986319e6e8665ca2,true,-,5,1,4,28
6,hu-worker-c23,24/d95ca4,nf-24d95ca42ab1ceb1fbdd12a9a4ac2dd7,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1712919102884,1712919104000,1712919229000,126116,123000,-,201.4,0.4,1134395392,5045231616,1134395392,5076287488,2508432176,3693312,4866148,11269,180224,4562944,10,1,/input/data/work/24/d95ca42ab1ceb1fbdd12a9a4ac2dd7,true,-,5,2,3,28
45,hu-worker-c43,c2/8e0425,nf-c28e0425b6069bc5715e4a9971382e38,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1712919103078,1712919109000,1712919228000,124922,118000,-,200.0,0.4,1100066816,4835119104,1100070912,4835123200,2559986962,3690874,4966865,11303,0,4472832,7,0,/input/data/work/c2/8e0425b6069bc5715e4a9971382e38,true,-,5,1,3,26
52,hu-worker-c23,7f/e5d5f4,nf-7fe5d5f496d7e82be9fa4793dfa2f61f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1712919103237,1712919104000,1712919230000,126763,125000,-,201.3,0.4,1094373376,4764860416,1094995968,4765847552,2507997683,3695795,4865330,11280,4194304,4603904,9,5,/input/data/work/7f/e5d5f496d7e82be9fa4793dfa2f61f,true,-,6,1,3,25
