task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
3,hu-worker-c43,12/319301,nf-12319301e3e3d53d28dea82a1bb64657,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1713181646244,1713181645000,1713181645000,-1244,0,-,48.7,0.0,3043328,5640192,3043328,5644288,713402,6240,278,18,5353472,16384,3,0,/input/data/work/12/319301e3e3d53d28dea82a1bb64657,true,-,7,3,4,41
2,hu-worker-c29,07/d5b044,nf-07d5b044fecf90a51218c2c53dfa5d3a,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1713181646131,1713181646000,1713181666000,19869,19000,-,99.8,0.0,4689920,12550144,4689920,12554240,3147402982,5954,48261,20,8192000,16384,26,809,/input/data/work/07/d5b044fecf90a51218c2c53dfa5d3a,true,-,26,13,41,90
1,hu-worker-c40,4a/b2d172,nf-4ab2d172a24e9277d056c9648e26f349,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1713181646188,1713181652000,1713181668000,21812,15000,-,98.5,0.2,470204416,480854016,470204416,480858112,4064228334,838279440,496316,104481,5865472,838287360,136,870,/input/data/work/4a/b2d172a24e9277d056c9648e26f349,true,-,7,2,3,42
34,hu-worker-c23,37/10740a,nf-3710740aeedec3a1a8bc262376465da4,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1713181653514,1713181655000,1713181723000,69486,67000,-,198.9,0.4,1098887168,4971442176,1098887168,5036457984,1417782519,3669207,2736061,11226,19836928,4259840,178,131,/input/data/work/37/10740aeedec3a1a8bc262376465da4,true,-,6,2,3,27
4,hu-worker-c23,f0/ec7cbb,nf-f0ec7cbb1957300e63d5a04a17eee02b,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1713181652933,1713181655000,1713181773000,120067,117000,-,199.7,0.4,1213362176,4844941312,1217724416,4907859968,2508431979,3693312,4866147,11269,26320896,4472832,121,2,/input/data/work/f0/ec7cbb1957300e63d5a04a17eee02b,true,-,6,2,3,27
12,hu-worker-c40,06/d50c98,nf-06d50c98dfb5c7cb941c721b917bc612,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1713181653879,1713181670000,1713181783000,129121,112000,-,202.7,0.4,1187028992,5049425920,1200635904,5054853120,1740178444,3670766,3365688,11230,0,4390912,6,3,/input/data/work/06/d50c98dfb5c7cb941c721b917bc612,true,-,5,1,33,27
10,hu-worker-c43,2e/9d683d,nf-2e9d683d85d04d37ed8e7288757a7b87,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1713181653204,1713181655000,1713181782000,128796,126000,-,199.2,0.4,1126400000,5045231616,1126666240,5112344576,2589103699,3695788,5023746,11270,19636224,4448256,7,2,/input/data/work/2e/9d683d85d04d37ed8e7288757a7b87,true,-,5,1,3,27
22,hu-worker-c43,c5/59d65f,nf-c559d65f453b512350ed36fc2826c125,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1713181653474,1713181655000,1713181793000,139526,137000,-,200.4,0.4,1210277888,5185748992,1211289600,5252861952,2792756638,3701606,5421495,11288,0,4554752,11,3,/input/data/work/c5/59d65f453b512350ed36fc2826c125,true,-,6,1,3,21
49,hu-worker-c23,af/71867c,nf-af71867c8bd107da3d6b6e28d3d199a2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1713181652695,1713181655000,1713181800000,147305,144000,-,199.8,0.4,1096486912,4833021952,1096486912,4900134912,3163887077,3680005,6146350,11286,13185024,4567040,9,1,/input/data/work/af/71867c8bd107da3d6b6e28d3d199a2,true,-,7,2,4,30
23,hu-worker-c40,87/f504f8,nf-87f504f8ce2f44ed3c045875deaaf25a,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1713181653013,1713181659000,1713181805000,151987,145000,-,202.8,0.4,1089896448,4764860416,1090244608,4765790208,2256972465,3675335,4375044,11284,4194304,4558848,12,1,/input/data/work/87/f504f8ce2f44ed3c045875deaaf25a,true,-,5,2,3,28
