sample,fastq_1,fastq_2,strandedness
TREATMENT_pSaI_8_REP3,/input/workflow-inputs/rnaseq/SRR28243717_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243717_2.fastq.gz,auto
TREATMENT_pSaI_8_REP2,/input/workflow-inputs/rnaseq/SRR28243719_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243719_2.fastq.gz,auto
TREATMENT_pSaI_8_REP1,/input/workflow-inputs/rnaseq/SRR28243721_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243721_2.fastq.gz,auto
TREATMENT_pSaI_20_REP4,/input/workflow-inputs/rnaseq/SRR28243764_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243764_2.fastq.gz,auto
TREATMENT_pSaI_20_REP3,/input/workflow-inputs/rnaseq/SRR28243767_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243767_2.fastq.gz,auto
TREATMENT_pSaI_20_REP2,/input/workflow-inputs/rnaseq/SRR28243769_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243769_2.fastq.gz,auto
TREATMENT_pSaI_20_REP1,/input/workflow-inputs/rnaseq/SRR28243772_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243772_2.fastq.gz,auto
TREATMENT_pPrI_8_REP4,/input/workflow-inputs/rnaseq/SRR28243778_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243778_2.fastq.gz,auto
TREATMENT_pPrI_8_REP3,/input/workflow-inputs/rnaseq/SRR28243781_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243781_2.fastq.gz,auto
TREATMENT_pPrI_8_REP2,/input/workflow-inputs/rnaseq/SRR28243783_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243783_2.fastq.gz,auto
TREATMENT_pPrI_8_REP1,/input/workflow-inputs/rnaseq/SRR28243785_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243785_2.fastq.gz,auto
TREATMENT_pSaI_8_REP4,/input/workflow-inputs/rnaseq/SRR28243825_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243825_2.fastq.gz,auto
TREATMENT_pPrI_8_REP4,/input/workflow-inputs/rnaseq/SRR28243827_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243827_2.fastq.gz,auto
TREATMENT_pPrI_8_REP3,/input/workflow-inputs/rnaseq/SRR28243832_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243832_2.fastq.gz,auto
TREATMENT_pPrI_8_REP2,/input/workflow-inputs/rnaseq/SRR28243834_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243834_2.fastq.gz,auto
TREATMENT_pPrI_8_REP1,/input/workflow-inputs/rnaseq/SRR28243836_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243836_2.fastq.gz,auto
CONTROL_REP4,/input/workflow-inputs/rnaseq/SRR28243866_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243866_2.fastq.gz,auto
CONTROL_REP3,/input/workflow-inputs/rnaseq/SRR28243868_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243868_2.fastq.gz,auto
CONTROL_REP2,/input/workflow-inputs/rnaseq/SRR28243870_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243870_2.fastq.gz,auto
CONTROL_REP1,/input/workflow-inputs/rnaseq/SRR28243872_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243872_2.fastq.gz,auto
TREATMENT_pDCvI_72_REP4,/input/workflow-inputs/rnaseq/SRR28243896_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243896_2.fastq.gz,auto
TREATMENT_pDCvI_72_REP3,/input/workflow-inputs/rnaseq/SRR28243898_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243898_2.fastq.gz,auto
TREATMENT_pDCvI_72_REP2,/input/workflow-inputs/rnaseq/SRR28243900_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243900_2.fastq.gz,auto
TREATMENT_pDCvI_72_REP1,/input/workflow-inputs/rnaseq/SRR28243902_1.fastq.gz,/input/workflow-inputs/rnaseq/SRR28243902_2.fastq.gz,auto
