patient,sex,status,sample,lane,fastq_1,fastq_2
MCF7_Luc_001,XX,0,SRR11452393,6,/input/input/SRR11452393_1.fastq.gz,/input/input/SRR11452393_2.fastq.gz
MCF7_Luc_002,XX,0,SRR11452394,5,/input/input/SRR11452394_1.fastq.gz,/input/input/SRR11452394_2.fastq.gz
MCF7_Luc_003,XX,0,SRR11452395,4,/input/input/SRR11452395_1.fastq.gz,/input/input/SRR11452395_2.fastq.gz
MCF7_Luc_004,XX,0,SRR11452396,3,/input/input/SRR11452396_1.fastq.gz,/input/input/SRR11452396_2.fastq.gz
MCF7_Luc_005,XX,0,SRR11452397,2,/input/input/SRR11452397_1.fastq.gz,/input/input/SRR11452397_2.fastq.gz
MCF7_Luc_006,XX,0,SRR11452398,1,/input/input/SRR11452398_1.fastq.gz,/input/input/SRR11452398_2.fastq.gz
MCF7_Luc_073,XX,0,SRR11452399,6,/input/input/SRR11452399_1.fastq.gz,/input/input/SRR11452399_2.fastq.gz
MCF7_Luc_074,XX,0,SRR11452400,5,/input/input/SRR11452400_1.fastq.gz,/input/input/SRR11452400_2.fastq.gz
MCF7_Luc_075,XX,0,SRR11452401,4,/input/input/SRR11452401_1.fastq.gz,/input/input/SRR11452401_2.fastq.gz
MCF7_Luc_076,XX,0,SRR11452402,3,/input/input/SRR11452402_1.fastq.gz,/input/input/SRR11452402_2.fastq.gz
MCF7_Luc_077,XX,0,SRR11452403,2,/input/input/SRR11452403_1.fastq.gz,/input/input/SRR11452403_2.fastq.gz
MCF7_Luc_078,XX,0,SRR11452404,1,/input/input/SRR11452404_1.fastq.gz,/input/input/SRR11452404_2.fastq.gz
D538G_1_079,XX,1,SRR11452471,6,/input/input/SRR11452471_1.fastq.gz,/input/input/SRR11452471_2.fastq.gz
D538G_1_080,XX,1,SRR11452472,5,/input/input/SRR11452472_1.fastq.gz,/input/input/SRR11452472_2.fastq.gz
D538G_1_081,XX,1,SRR11452473,4,/input/input/SRR11452473_1.fastq.gz,/input/input/SRR11452473_2.fastq.gz
D538G_1_082,XX,1,SRR11452474,3,/input/input/SRR11452474_1.fastq.gz,/input/input/SRR11452474_2.fastq.gz
D538G_1_083,XX,1,SRR11452475,2,/input/input/SRR11452475_1.fastq.gz,/input/input/SRR11452475_2.fastq.gz
D538G_1_084,XX,1,SRR11452476,1,/input/input/SRR11452476_1.fastq.gz,/input/input/SRR11452476_2.fastq.gz
D538G_2_085,XX,1,SRR11452477,6,/input/input/SRR11452477_1.fastq.gz,/input/input/SRR11452477_2.fastq.gz
D538G_2_086,XX,1,SRR11452478,5,/input/input/SRR11452478_1.fastq.gz,/input/input/SRR11452478_2.fastq.gz
D538G_2_087,XX,1,SRR11452479,4,/input/input/SRR11452479_1.fastq.gz,/input/input/SRR11452479_2.fastq.gz
D538G_2_088,XX,1,SRR11452480,3,/input/input/SRR11452480_1.fastq.gz,/input/input/SRR11452480_2.fastq.gz
D538G_2_089,XX,1,SRR11452481,2,/input/input/SRR11452481_1.fastq.gz,/input/input/SRR11452481_2.fastq.gz
D538G_2_090,XX,1,SRR11452482,1,/input/input/SRR11452482_1.fastq.gz,/input/input/SRR11452482_2.fastq.gz
D538G_3_091,XX,1,SRR11452483,6,/input/input/SRR11452483_1.fastq.gz,/input/input/SRR11452483_2.fastq.gz
D538G_3_092,XX,1,SRR11452484,5,/input/input/SRR11452484_1.fastq.gz,/input/input/SRR11452484_2.fastq.gz
D538G_3_093,XX,1,SRR11452485,4,/input/input/SRR11452485_1.fastq.gz,/input/input/SRR11452485_2.fastq.gz
D538G_3_094,XX,1,SRR11452486,3,/input/input/SRR11452486_1.fastq.gz,/input/input/SRR11452486_2.fastq.gz
D538G_3_095,XX,1,SRR11452487,2,/input/input/SRR11452487_1.fastq.gz,/input/input/SRR11452487_2.fastq.gz
D538G_3_096,XX,1,SRR11452488,1,/input/input/SRR11452488_1.fastq.gz,/input/input/SRR11452488_2.fastq.gz
D538G_4_097,XX,1,SRR11452489,6,/input/input/SRR11452489_1.fastq.gz,/input/input/SRR11452489_2.fastq.gz
D538G_4_098,XX,1,SRR11452490,5,/input/input/SRR11452490_1.fastq.gz,/input/input/SRR11452490_2.fastq.gz
D538G_4_099,XX,1,SRR11452491,4,/input/input/SRR11452491_1.fastq.gz,/input/input/SRR11452491_2.fastq.gz
D538G_4_100,XX,1,SRR11452492,3,/input/input/SRR11452492_1.fastq.gz,/input/input/SRR11452492_2.fastq.gz
D538G_4_101,XX,1,SRR11452493,2,/input/input/SRR11452493_1.fastq.gz,/input/input/SRR11452493_2.fastq.gz
D538G_4_102,XX,1,SRR11452494,1,/input/input/SRR11452494_1.fastq.gz,/input/input/SRR11452494_2.fastq.gz
